1	Attachment	Attachment	B-NP	NN	O	7	NMOD
3	factors	factor	I-NP	NNS	O	1	PMOD
4	studied	study	B-VP	VBN	O	3	NMOD
5	,	,	O	,	O	9	P
6	only	only	B-NP	RB	O	8	NMOD
7	capsule	capsule	I-NP	NN	O	8	NMOD
8	production	production	I-NP	NN	O	9	SUB
9	was	be	B-VP	VBD	O	0	ROOT
10	associated	associate	I-VP	VBN	O	9	VC
11	with	with	B-PP	IN	O	10	VMOD
12	attachment	attachment	B-NP	NN	O	13	NMOD
13	ability	ability	I-NP	NN	O	11	PMOD
14	.	.	O	.	O	9	P

