1	Interactions	Interaction	B-NP	NNS	O	0	ROOT
27	reassociates	reassociate	B-VP	VBZ	O	0	ROOT
28	with	with	B-PP	IN	O	27	VMOD
29	the	the	B-NP	DT	O	30	NMOD
30	cells	cell	I-NP	NNS	O	28	PMOD
31	in	in	B-PP	IN	O	27	VMOD
32	the	the	I-PP	DT	O	33	NMOD
33	presence	presence	I-PP	NN	O	31	PMOD
34	of	of	I-PP	IN	O	33	NMOD
35	lysozyme	lysozyme	B-NP	NN	B-protein	34	PMOD
36	.	.	O	.	O	27	P

1	Electron	Electron	B-NP	NN	O	3	NMOD
2	microscopic	microscopic	I-NP	JJ	O	3	NMOD
3	examinations	examination	I-NP	NNS	O	7	SUB
4	of	of	B-PP	IN	O	3	NMOD
5	various	various	B-NP	JJ	O	6	NMOD
6	preparations	preparation	I-NP	NNS	O	4	PMOD
7	revealed	reveal	B-VP	VBD	O	0	ROOT
8	that	that	B-SBAR	IN	O	7	VMOD
9	phosphatase	phosphatase	B-NP	NN	B-protein	8	SBAR
10	released	release	B-VP	VBN	O	9	NMOD
11	in	in	B-PP	IN	O	10	VMOD
12	sucrose	sucrose	B-NP	NN	O	11	PMOD
13	reassociated	reassociate	B-VP	VBN	O	12	NMOD
14	with	with	B-PP	IN	O	13	VMOD
15	the	the	B-NP	DT	O	19	NMOD
16	external	external	I-NP	JJ	O	19	NMOD
17	cell	cell	I-NP	NN	O	19	NMOD
18	wall	wall	I-NP	NN	O	19	NMOD
19	layers	layer	I-NP	NNS	O	14	PMOD
20	in	in	B-PP	IN	O	19	NMOD
21	the	the	B-NP	DT	O	22	NMOD
22	presence	presence	I-NP	NN	O	20	PMOD
23	of	of	B-PP	IN	O	22	NMOD
24	lysozyme	lysozyme	B-NP	NN	B-protein	23	PMOD
25	,	,	O	,	O	9	P
26	that	that	B-SBAR	IN	O	44	DEP
27	sucrose-lysozyme	sucrose-lysozyme	B-NP	NN	B-protein	29	NMOD
28	prepared	prepare	B-VP	VBN	O	29	NMOD
29	spheroplasts	spheroplast	B-NP	NNS	O	30	SUB
30	did	do	B-VP	VBD	O	26	SBAR
31	not	not	I-VP	RB	O	30	VMOD
32	dissociate	dissociate	I-VP	VB	O	30	VC
33	phosphatase	phosphatase	B-NP	NN	B-protein	32	OBJ
34	which	which	B-NP	WDT	O	33	NMOD
35	remained	remain	B-VP	VBD	O	34	SBAR
36	in	in	B-PP	IN	O	35	VMOD
37	the	the	B-NP	DT	O	38	NMOD
38	periplasm	periplasm	I-NP	NN	O	36	PMOD
39	of	of	B-PP	IN	O	38	NMOD
40	sucrose-washed	sucrose-washed	B-NP	JJ	B-cell_type	41	NMOD
41	cells	cell	I-NP	NNS	I-cell_type	39	PMOD
42	,	,	O	,	O	44	P
43	and	and	O	CC	O	44	DEP
44	that	that	B-SBAR	IN	O	9	VMOD
45	phosphatase	phosphatase	B-NP	NN	B-protein	46	SUB
46	was	be	B-VP	VBD	O	44	SBAR
47	never	never	I-VP	RB	O	46	VMOD
48	observed	observe	I-VP	VBN	O	46	VC
49	to	to	I-VP	TO	O	50	VMOD
50	be	be	I-VP	VB	O	48	VMOD
51	associated	associate	I-VP	VBN	O	50	VC
52	with	with	B-PP	IN	O	51	VMOD
53	the	the	B-NP	DT	O	55	NMOD
54	cytoplasmic	cytoplasmic	I-NP	JJ	O	55	NMOD
55	membrane	membrane	I-NP	NN	O	52	PMOD
56	.	.	O	.	O	7	P

1	A	A	B-NP	DT	O	2	NMOD
2	model	model	I-NP	NN	O	34	SUB
3	to	to	B-VP	TO	O	4	VMOD
4	account	account	I-VP	VB	O	2	NMOD
5	for	for	B-PP	IN	O	4	VMOD
6	the	the	B-NP	DT	O	7	NMOD
7	binding	binding	I-NP	NN	O	5	PMOD
8	of	of	B-PP	IN	O	7	NMOD
9	P.	P.	B-NP	NNP	O	10	NMOD
10	aeruginosa	aeruginosa	I-NP	NNP	O	8	PMOD
11	alkaline	alkaline	I-NP	NN	B-protein	12	NMOD
12	phosphatase	phosphatase	I-NP	NN	I-protein	10	NMOD
13	to	to	B-PP	TO	O	7	NMOD
14	the	the	B-NP	DT	O	16	NMOD
15	internal	internal	I-NP	JJ	O	16	NMOD
16	portion	portion	I-NP	NN	O	13	PMOD
17	of	of	B-PP	IN	O	16	NMOD
18	the	the	B-NP	DT	O	20	NMOD
19	tripartite	tripartite	I-NP	JJ	O	20	NMOD
20	layer	layer	I-NP	NN	O	17	PMOD
21	of	of	B-PP	IN	O	20	NMOD
22	the	the	B-NP	DT	O	24	NMOD
23	cell	cell	I-NP	NN	O	24	NMOD
24	wall	wall	I-NP	NN	O	21	PMOD
25	rather	rather	B-CONJP	RB	O	7	NMOD
26	than	than	I-CONJP	IN	O	25	DEP
27	to	to	B-PP	TO	O	25	AMOD
28	the	the	B-NP	DT	O	30	NMOD
29	cytoplasmic	cytoplasmic	I-NP	JJ	O	30	NMOD
30	membrane	membrane	I-NP	NN	O	33	NMOD
31	or	or	I-NP	CC	O	33	NMOD
32	peptidoglycan	peptidoglycan	I-NP	NN	O	33	NMOD
33	layer	layer	I-NP	NN	O	27	PMOD
34	is	be	B-VP	VBZ	O	0	ROOT
35	presented	present	I-VP	VBN	O	34	VC
36	.	.	O	.	O	34	P

