1	Effects	Effect	B-NP	NNS	O	0	ROOT
10	biphenyl	biphenyl	B-NP	NN	O	9	PMOD
11	showed	show	B-VP	VBD	O	0	ROOT
12	a	a	B-NP	DT	O	16	NMOD
13	considerably	considerably	I-NP	RB	O	16	NMOD
14	less	less	I-NP	RBR	O	13	AMOD
15	significant	significant	I-NP	JJ	O	13	AMOD
16	effect	effect	I-NP	NN	O	11	OBJ
17	of	of	B-PP	IN	O	16	NMOD
18	TeCB	TeCB	B-NP	NN	B-protein	17	PMOD
19	on	on	B-PP	IN	O	16	NMOD
20	membrane	membrane	B-NP	NN	O	21	NMOD
21	polarization	polarization	I-NP	NN	O	19	PMOD
22	than	than	B-PP	IN	O	16	NMOD
23	in	in	B-PP	IN	O	22	PMOD
24	fructose-grown	fructose-grown	B-NP	JJ	B-cell_type	25	NMOD
25	cells	cell	I-NP	NNS	I-cell_type	23	PMOD
26	.	.	O	.	O	11	P

1	An	An	B-NP	DT	O	2	NMOD
2	increase	increase	I-NP	NN	O	18	SUB
3	in	in	B-PP	IN	O	2	NMOD
4	the	the	B-NP	DT	O	5	NMOD
5	ratio	ratio	I-NP	NN	O	3	PMOD
6	of	of	B-PP	IN	O	5	NMOD
7	total	total	B-NP	JJ	O	6	PMOD
8	saturated	saturate	B-VP	VBN	O	7	NMOD
9	to	to	B-PP	TO	O	8	VMOD
10	unsaturated	unsaturated	B-NP	JJ	O	12	NMOD
11	fatty	fatty	I-NP	JJ	O	12	NMOD
12	acids	acid	I-NP	NNS	O	9	PMOD
13	in	in	B-PP	IN	O	12	NMOD
14	cells	cell	B-NP	NNS	O	13	PMOD
15	grown	grow	B-VP	VBN	O	14	NMOD
16	on	on	B-PP	IN	O	15	VMOD
17	biphenyl	biphenyl	B-NP	NN	O	16	PMOD
18	suggested	suggest	B-VP	VBD	O	0	ROOT
19	less	less	B-NP	JJR	O	18	VMOD
20	of	of	B-PP	IN	O	19	NMOD
21	a	a	B-NP	DT	O	23	NMOD
22	fluidizing	fluidizing	I-NP	JJ	O	23	NMOD
23	effect	effect	I-NP	NN	O	20	PMOD
24	of	of	B-PP	IN	O	23	NMOD
25	TeCB	TeCB	B-NP	NN	B-protein	24	PMOD
26	on	on	B-PP	IN	O	19	AMOD
27	membranes	membrane	B-NP	NNS	O	26	PMOD
28	in	in	B-PP	IN	O	27	NMOD
29	those	those	B-NP	DT	O	30	NMOD
30	cells	cell	I-NP	NNS	O	28	PMOD
31	.	.	O	.	O	18	P

1	When	When	B-ADVP	WRB	O	13	VMOD
2	biphenyl-grown	biphenyl-grown	B-NP	JJ	B-cell_type	3	NMOD
3	cells	cell	I-NP	NNS	I-cell_type	4	SUB
4	were	be	B-VP	VBD	O	1	SBAR
5	transferred	transfer	I-VP	VBN	O	4	VC
6	back	back	B-ADVP	RB	O	7	PMOD
7	to	to	B-PP	TO	O	5	VMOD
8	a	a	B-NP	DT	O	10	NMOD
9	fructose	fructose	I-NP	NN	O	10	NMOD
10	medium	medium	I-NP	NN	O	7	PMOD
11	,	,	O	,	O	13	P
12	they	they	B-NP	PRP	O	13	SUB
13	required	require	B-VP	VBD	O	0	ROOT
14	25	25	B-NP	CD	O	15	NMOD
15	generations	generation	I-NP	NNS	O	13	OBJ
16	for	for	B-PP	IN	O	15	NMOD
17	the	the	B-NP	DT	O	23	NMOD
18	membrane	membrane	I-NP	NN	O	19	NMOD
19	polarization	polarization	I-NP	NN	O	22	NMOD
20	and	and	O	CC	O	22	NMOD
21	fatty	fatty	B-NP	JJ	O	22	NMOD
22	acid	acid	I-NP	NN	O	23	NMOD
23	compositions	composition	I-NP	NNS	O	16	PMOD
24	of	of	B-PP	IN	O	23	NMOD
25	these	these	B-NP	DT	O	26	NMOD
26	cells	cell	I-NP	NNS	O	24	PMOD
27	to	to	B-VP	TO	O	28	VMOD
28	revert	revert	I-VP	VB	O	15	NMOD
29	back	back	B-ADVP	RB	O	28	VMOD
30	to	to	B-PP	TO	O	29	AMOD
31	those	those	B-NP	DT	O	30	PMOD
32	of	of	B-PP	IN	O	31	NMOD
33	the	the	B-NP	DT	O	36	NMOD
34	initial	initial	I-NP	JJ	B-cell_type	36	NMOD
35	fructose-grown	fructose-grown	I-NP	JJ	I-cell_type	36	NMOD
36	cells	cell	I-NP	NNS	I-cell_type	32	PMOD
37	.	.	O	.	O	13	P

1	The	The	B-NP	DT	O	2	NMOD
2	re-adaptation	re-adaptation	I-NP	NN	O	8	SUB
3	to	to	B-PP	TO	O	2	NMOD
4	a	a	B-NP	DT	O	5	NMOD
5	change	change	I-NP	NN	O	3	PMOD
6	in	in	B-PP	IN	O	5	NMOD
7	temperature	temperature	B-NP	NN	O	6	PMOD
8	required	require	B-VP	VBD	O	0	ROOT
9	only	only	B-NP	RB	O	11	NMOD
10	five	five	I-NP	CD	O	9	AMOD
11	generations	generation	I-NP	NNS	O	8	OBJ
12	to	to	B-VP	TO	O	13	VMOD
13	return	return	I-VP	VB	O	8	VMOD
14	to	to	B-PP	TO	O	13	VMOD
15	normal	normal	B-ADJP	JJ	O	14	PMOD
16	.	.	O	.	O	8	P

1	These	These	B-NP	DT	O	2	NMOD
2	results	result	I-NP	NNS	O	3	SUB
3	show	show	B-VP	VBP	O	0	ROOT
4	that	that	B-SBAR	IN	O	3	VMOD
5	biphenyl	biphenyl	B-NP	NN	O	6	SUB
6	affects	affect	B-VP	VBZ	O	4	SBAR
7	cells	cell	B-NP	NNS	O	6	OBJ
8	in	in	B-PP	IN	O	7	NMOD
9	more	more	B-NP	JJR	O	10	NMOD
10	ways	way	I-NP	NNS	O	8	PMOD
11	than	than	B-PP	IN	O	7	NMOD
12	simply	simply	B-ADVP	RB	O	13	VMOD
13	fluidizing	fluidize	B-VP	VBG	O	11	PMOD
14	the	the	B-NP	DT	O	16	NMOD
15	cytoplasmic	cytoplasmic	I-NP	JJ	O	16	NMOD
16	membrane	membrane	I-NP	NN	O	13	OBJ
17	.	.	O	.	O	3	P

