1	Quorum-sensing	Quorum-sensing	B-NP	JJ	O	2	NMOD
5	of	of	B-PP	IN	O	4	NMOD
6	adhesion	adhesion	B-NP	NN	O	5	PMOD
7	in	in	B-PP	IN	O	4	NMOD
8	initiating	initiate	B-VP	VBG	O	7	PMOD
9	biofilm	biofilm	B-NP	NN	O	10	NMOD
10	formation	formation	I-NP	NN	O	12	NMOD
11	and	and	I-NP	CC	O	12	NMOD
12	infection	infection	I-NP	NN	O	8	OBJ
13	,	,	O	,	O	20	P
14	the	the	B-NP	DT	O	16	NMOD
15	primary	primary	I-NP	JJ	O	16	NMOD
16	goal	goal	I-NP	NN	O	20	SUB
17	of	of	B-PP	IN	O	16	NMOD
18	this	this	B-NP	DT	O	19	NMOD
19	study	study	I-NP	NN	O	17	PMOD
20	was	be	B-VP	VBD	O	0	ROOT
21	to	to	B-VP	TO	O	22	VMOD
22	determine	determine	I-VP	VB	O	20	PRD
23	whether	whether	B-SBAR	IN	O	22	VMOD
24	QS	QS	B-NP	NN	B-protein	25	SUB
25	is	be	B-VP	VBZ	O	23	SBAR
26	important	important	B-ADJP	JJ	O	25	PRD
27	in	in	B-PP	IN	O	26	AMOD
28	adhesion	adhesion	B-NP	NN	O	27	PMOD
29	to	to	B-PP	TO	O	28	NMOD
30	both	both	O	CC	O	34	NMOD
31	abiotic	abiotic	B-NP	JJ	O	34	NMOD
32	and	and	I-NP	CC	O	34	NMOD
33	biotic	biotic	I-NP	JJ	O	34	NMOD
34	surfaces	surface	I-NP	NNS	O	29	PMOD
35	,	,	O	,	O	22	P
36	as	as	B-SBAR	IN	O	22	VMOD
37	assessed	assess	B-VP	VBN	O	36	SBAR
38	by	by	B-PP	IN	O	37	VMOD
39	determining	determine	B-VP	VBG	O	38	PMOD
40	the	the	B-NP	DT	O	41	NMOD
41	degree	degree	I-NP	NN	O	39	OBJ
42	of	of	B-PP	IN	O	41	NMOD
43	attachment	attachment	B-NP	NN	O	42	PMOD
44	to	to	B-PP	TO	O	41	NMOD
45	hydrophilic	hydrophilic	B-NP	JJ	O	48	NMOD
46	tissue	tissue	I-NP	NN	O	48	NMOD
47	culture	culture	I-NP	NN	O	48	NMOD
48	plates	plate	I-NP	NNS	O	56	NMOD
49	and	and	O	CC	O	56	NMOD
50	human	human	B-NP	JJ	B-cell_type	56	NMOD
51	corneal	corneal	I-NP	NN	I-cell_type	56	NMOD
52	epithelial	epithelial	B-ADJP	JJ	I-cell_type	56	NMOD
53	(	(	O	(	I-cell_type	56	NMOD
54	HCE	HCE	B-NP	NN	I-cell_type	56	NMOD
55	)	)	I-NP	)	I-cell_type	56	NMOD
56	cells	cell	I-NP	NNS	I-cell_type	44	PMOD
57	.	.	O	.	O	20	P

1	Our	Our	B-NP	PRP$	O	2	NMOD
2	results	result	I-NP	NNS	O	3	SUB
3	demonstrate	demonstrate	B-VP	VBP	O	0	ROOT
4	that	that	B-SBAR	IN	O	3	VMOD
5	while	while	B-SBAR	IN	O	22	VMOD
6	adhesion	adhesion	B-NP	NN	O	11	SUB
7	to	to	B-PP	TO	O	6	NMOD
8	the	the	B-NP	DT	O	10	NMOD
9	abiotic	abiotic	I-NP	JJ	O	10	NMOD
10	surface	surface	I-NP	NN	O	7	PMOD
11	was	be	B-VP	VBD	O	5	SBAR
12	AHL	AHL	I-VP	NN	O	13	AMOD
13	regulated	regulate	I-VP	VBN	O	11	VC
14	,	,	O	,	O	22	P
15	adhesion	adhesion	B-NP	NN	O	22	SUB
16	to	to	B-PP	TO	O	15	NMOD
17	the	the	B-NP	DT	O	21	NMOD
18	HCE	HCE	I-NP	NN	O	21	NMOD
19	cell	cell	I-NP	NN	O	21	NMOD
20	biotic	biotic	I-NP	JJ	O	21	NMOD
21	surface	surface	I-NP	NN	O	16	PMOD
22	was	be	B-VP	VBD	O	4	SBAR
23	not	not	O	RB	O	22	VMOD
24	.	.	O	.	O	3	P

1	Type	Type	B-NP	NN	O	3	NMOD
2	I	I	I-NP	CD	O	3	NMOD
3	fimbriae	fimbria	I-NP	NNS	O	4	SUB
4	were	be	B-VP	VBD	O	0	ROOT
5	identified	identify	I-VP	VBN	O	4	VC
6	as	as	B-PP	IN	O	5	VMOD
7	the	the	B-NP	DT	O	9	NMOD
8	critical	critical	I-NP	JJ	O	9	NMOD
9	adhesin	adhesin	I-NP	NN	O	6	PMOD
10	for	for	B-PP	IN	O	9	NMOD
11	non-QS-mediated	non-QS-mediated	B-NP	JJ	O	12	NMOD
12	attachment	attachment	I-NP	NN	O	10	PMOD
13	to	to	B-PP	TO	O	12	NMOD
14	the	the	B-NP	DT	O	18	NMOD
15	biotic	biotic	I-NP	JJ	O	18	NMOD
16	HCE	HCE	I-NP	NN	O	18	NMOD
17	cell	cell	I-NP	NN	O	18	NMOD
18	surface	surface	I-NP	NN	O	13	PMOD
19	but	but	O	CC	O	4	VMOD
20	played	play	B-VP	VBD	O	4	VMOD
21	no	no	B-NP	DT	O	22	NMOD
22	role	role	I-NP	NN	O	20	OBJ
23	in	in	B-PP	IN	O	20	VMOD
24	adhesion	adhesion	B-NP	NN	O	23	PMOD
25	to	to	B-PP	TO	O	20	VMOD
26	the	the	B-NP	DT	O	28	NMOD
27	abiotic	abiotic	I-NP	JJ	O	28	NMOD
28	surface	surface	I-NP	NN	O	25	PMOD
29	.	.	O	.	O	4	P

1	While	While	B-SBAR	IN	O	0	ROOT
2	we	we	B-NP	PRP	O	3	SUB
3	were	be	B-VP	VBD	O	30	VMOD
4	not	not	O	RB	O	3	VMOD
5	able	able	B-ADJP	JJ	O	30	VMOD
6	to	to	B-VP	TO	O	7	VMOD
7	identify	identify	I-VP	VB	O	30	VMOD
8	a	a	B-NP	DT	O	11	NMOD
9	single	single	I-NP	JJ	O	11	NMOD
10	QS-regulated	QS-regulated	I-NP	JJ	B-protein	11	NMOD
11	adhesin	adhesin	I-NP	NN	I-protein	7	OBJ
12	essential	essential	B-ADJP	JJ	O	11	NMOD
13	for	for	B-PP	IN	O	12	AMOD
14	attachment	attachment	B-NP	NN	O	13	PMOD
15	to	to	B-PP	TO	O	14	NMOD
16	the	the	B-NP	DT	O	18	NMOD
17	abiotic	abiotic	I-NP	JJ	O	18	NMOD
18	surface	surface	I-NP	NN	O	15	PMOD
19	,	,	O	,	O	30	P
20	four	four	B-NP	CD	O	22	NMOD
21	AHL-regulated	AHL-regulated	I-NP	JJ	B-DNA	22	NMOD
22	genes	gene	I-NP	NNS	I-DNA	30	SUB
23	involved	involve	B-VP	VBN	O	22	NMOD
24	in	in	B-PP	IN	O	23	VMOD
25	adhesion	adhesion	B-NP	NN	O	24	PMOD
26	to	to	B-PP	TO	O	25	NMOD
27	the	the	B-NP	DT	O	29	NMOD
28	abiotic	abiotic	I-NP	JJ	O	29	NMOD
29	surface	surface	I-NP	NN	O	26	PMOD
30	were	be	B-VP	VBD	O	1	SBAR
31	identified	identify	I-VP	VBN	O	30	VC
32	.	.	O	.	O	1	P

1	Interestingly	Interestingly	B-ADVP	RB	O	12	VMOD
2	,	,	O	,	O	12	P
3	two	two	B-NP	CD	O	10	NMOD
4	of	of	B-PP	IN	O	3	NMOD
5	these	these	B-NP	DT	O	6	NMOD
6	genes	gene	I-NP	NNS	O	4	PMOD
7	,	,	O	,	O	10	P
8	bsmA	bsmA	B-NP	NN	B-DNA	10	NMOD
9	and	and	I-NP	CC	O	10	NMOD
10	bsmB	bsmB	I-NP	NN	B-DNA	12	SUB
11	,	,	O	,	O	10	P
12	were	be	B-VP	VBD	O	0	ROOT
13	also	also	I-VP	RB	O	12	VMOD
14	shown	show	I-VP	VBN	O	12	VC
15	to	to	I-VP	TO	O	16	VMOD
16	be	be	I-VP	VB	O	14	VMOD
17	involved	involve	I-VP	VBN	O	16	VC
18	in	in	B-PP	IN	O	17	VMOD
19	adhesion	adhesion	B-NP	NN	O	18	PMOD
20	to	to	B-PP	TO	O	19	NMOD
21	the	the	B-NP	DT	O	23	NMOD
22	biotic	biotic	I-NP	JJ	O	23	NMOD
23	surface	surface	I-NP	NN	O	20	PMOD
24	in	in	B-PP	IN	O	19	NMOD
25	a	a	B-NP	DT	O	27	NMOD
26	non-QS-controlled	non-QS-controlled	I-NP	JJ	O	27	NMOD
27	fashion	fashion	I-NP	NN	O	24	PMOD
28	.	.	O	.	O	12	P

1	Therefore	Therefore	B-ADVP	RB	O	9	VMOD
2	,	,	O	,	O	9	P
3	the	the	B-NP	DT	O	4	NMOD
4	expression	expression	I-NP	NN	O	9	SUB
5	of	of	B-PP	IN	O	4	NMOD
6	these	these	B-NP	DT	O	8	NMOD
7	two	two	I-NP	CD	O	8	NMOD
8	genes	gene	I-NP	NNS	O	5	PMOD
9	appears	appear	B-VP	VBZ	O	0	ROOT
10	to	to	I-VP	TO	O	11	VMOD
11	be	be	I-VP	VB	O	9	VMOD
12	cocontrolled	cocontrolle	I-VP	VBN	O	11	VC
13	by	by	B-PP	IN	O	12	VMOD
14	regulators	regulator	B-NP	NNS	O	13	PMOD
15	other	other	B-ADJP	JJ	O	14	NMOD
16	than	than	B-PP	IN	O	15	AMOD
17	the	the	B-NP	DT	O	19	NMOD
18	QS	QS	I-NP	NN	O	19	NMOD
19	system	system	I-NP	NN	O	16	PMOD
20	for	for	B-PP	IN	O	19	NMOD
21	mediation	mediation	B-NP	NN	O	20	PMOD
22	of	of	B-PP	IN	O	21	NMOD
23	attachment	attachment	B-NP	NN	O	22	PMOD
24	to	to	B-PP	TO	O	21	NMOD
25	HCE	HCE	B-NP	NN	B-cell_type	26	NMOD
26	cells	cell	I-NP	NNS	I-cell_type	24	PMOD
27	.	.	O	.	O	9	P

1	We	We	B-NP	PRP	O	3	SUB
2	also	also	B-ADVP	RB	O	3	VMOD
3	found	find	B-VP	VBD	O	0	ROOT
4	that	that	B-SBAR	IN	O	3	VMOD
5	QS	QS	B-NP	NNP	O	9	SUB
6	in	in	B-PP	IN	O	5	NMOD
7	S.	S.	B-NP	NNP	O	8	NMOD
8	marcescens	marcescens	I-NP	NNP	O	6	PMOD
9	regulates	regulate	B-VP	VBZ	O	4	SBAR
10	other	other	B-NP	JJ	O	14	NMOD
11	potential	potential	I-NP	JJ	O	14	NMOD
12	cell	cell	I-NP	NN	B-protein	14	NMOD
13	surface	surface	I-NP	NN	I-protein	14	NMOD
14	adhesins	adhesin	I-NP	NNS	I-protein	9	OBJ
15	,	,	O	,	O	14	P
16	including	include	B-PP	VBG	O	14	NMOD
17	exopolysaccharide	exopolysaccharide	B-NP	NN	O	23	NMOD
18	and	and	O	CC	O	23	NMOD
19	the	the	B-NP	DT	O	23	NMOD
20	outer	outer	I-NP	JJ	O	23	NMOD
21	membrane	membrane	I-NP	NN	O	23	NMOD
22	protein	protein	I-NP	NN	O	23	NMOD
23	OmpX	OmpX	I-NP	NN	B-protein	16	PMOD
24	.	.	O	.	O	3	P

1	We	We	B-NP	PRP	O	2	SUB
2	concluded	conclude	B-VP	VBD	O	0	ROOT
3	that	that	B-SBAR	IN	O	21	DEP
4	S.	S.	B-NP	NNP	O	6	NMOD
5	marcescens	marcescens	I-NP	NNP	O	6	NMOD
6	MG1	MG1	I-NP	NN	B-protein	7	SUB
7	utilizes	utilize	B-VP	VBZ	O	3	SBAR
8	different	different	B-NP	JJ	O	7	OBJ
9	regulatory	regulatory	I-NP	JJ	O	10	NMOD
10	systems	system	I-NP	NNS	O	8	NMOD
11	and	and	I-NP	CC	O	8	NMOD
12	adhesins	adhesin	I-NP	NNS	B-protein	8	NMOD
13	in	in	B-PP	IN	O	7	VMOD
14	attachment	attachment	B-NP	NN	O	13	PMOD
15	to	to	B-PP	TO	O	14	NMOD
16	biotic	biotic	B-NP	JJ	O	19	NMOD
17	and	and	I-NP	CC	O	19	NMOD
18	abiotic	abiotic	I-NP	JJ	O	19	NMOD
19	surfaces	surface	I-NP	NNS	O	15	PMOD
20	and	and	O	CC	O	21	DEP
21	that	that	B-SBAR	IN	O	2	VMOD
22	QS	QS	B-NP	NN	B-protein	23	SUB
23	is	be	B-VP	VBZ	O	21	SBAR
24	a	a	B-NP	DT	O	27	NMOD
25	main	main	I-NP	JJ	O	27	NMOD
26	regulatory	regulatory	I-NP	JJ	O	27	NMOD
27	pathway	pathway	I-NP	NN	O	23	PRD
28	in	in	B-PP	IN	O	27	NMOD
29	adhesion	adhesion	B-NP	NN	O	28	PMOD
30	to	to	B-PP	TO	O	29	NMOD
31	an	an	B-NP	DT	O	33	NMOD
32	abiotic	abiotic	I-NP	JJ	O	33	NMOD
33	surface	surface	I-NP	NN	O	30	PMOD
34	but	but	B-PP	CC	O	30	PMOD
35	not	not	B-PP	RB	O	30	PMOD
36	in	in	I-PP	IN	O	28	PMOD
37	adhesion	adhesion	B-NP	NN	O	36	PMOD
38	to	to	B-PP	TO	O	37	NMOD
39	a	a	B-NP	DT	O	41	NMOD
40	biotic	biotic	I-NP	JJ	O	41	NMOD
41	surface	surface	I-NP	NN	O	38	PMOD
42	.	.	O	.	O	2	P

