1	Flow	Flow	B-NP	NN	O	3	NMOD
31	role	role	I-NP	NN	O	33	NMOD
32	and	and	I-NP	CC	O	33	NMOD
33	increase	increase	I-NP	NN	O	29	OBJ
34	of	of	B-PP	IN	O	33	NMOD
35	NAP	NAP	B-NP	NN	B-protein	34	PMOD
36	in	in	B-PP	IN	O	33	NMOD
37	Gram-negative	Gram-negative	B-NP	JJ	O	39	NMOD
38	bacterial	bacterial	I-NP	JJ	O	39	NMOD
39	infections	infection	I-NP	NNS	O	36	PMOD
40	.	.	O	.	O	13	P

1	Percentage	Percentage	B-NP	NN	O	12	SUB
2	of	of	B-PP	IN	O	1	NMOD
3	neutrophils	neutrophil	B-NP	NNS	B-cell_type	2	PMOD
4	containing	contain	B-VP	VBG	O	3	NMOD
5	alkaline	alkaline	B-NP	NN	B-protein	6	NMOD
6	phosphatase	phosphatase	I-NP	NN	I-protein	8	NMOD
7	and	and	O	CC	O	8	NMOD
8	intensity	intensity	B-NP	NN	O	4	OBJ
9	of	of	B-PP	IN	O	8	NMOD
10	NAP	NAP	B-NP	NN	B-protein	11	NMOD
11	activity	activity	I-NP	NN	O	9	PMOD
12	were	be	B-VP	VBD	O	0	ROOT
13	measured	measure	I-VP	VBN	O	12	VC
14	.	.	O	.	O	12	P

1	Preinfection	Preinfection	B-NP	NN	O	2	NMOD
2	percentage	percentage	I-NP	NN	O	8	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	neutrophils	neutrophil	B-NP	NNS	B-cell_type	3	PMOD
5	with	with	B-PP	IN	O	2	NMOD
6	enzyme	enzyme	B-NP	NN	O	7	NMOD
7	activity	activity	I-NP	NN	O	5	PMOD
8	varied	vary	B-VP	VBD	O	0	ROOT
9	between	between	B-PP	IN	O	8	VMOD
10	64.0	64.0	B-NP	CD	O	11	NMOD
11	%	%	I-NP	NN	O	14	NMOD
12	and	and	O	CC	O	14	NMOD
13	84.4	84.4	B-NP	CD	O	14	NMOD
14	%	%	I-NP	NN	O	17	NMOD
15	and	and	O	CC	O	17	NMOD
16	the	the	B-NP	DT	O	17	NMOD
17	intensity	intensity	I-NP	NN	O	9	PMOD
18	of	of	B-PP	IN	O	17	NMOD
19	enzyme	enzyme	B-NP	NN	B-protein	20	NMOD
20	activity	activity	I-NP	NN	O	18	PMOD
21	was	be	B-VP	VBD	O	8	VMOD
22	low	low	B-ADJP	JJ	O	21	PRD
23	in	in	B-PP	IN	O	22	AMOD
24	all	all	B-NP	DT	O	25	NMOD
25	cows	cow	I-NP	NNS	O	23	PMOD
26	.	.	O	.	O	8	P

1	After	After	B-PP	IN	O	12	VMOD
2	induction	induction	B-NP	NN	O	1	PMOD
3	of	of	B-PP	IN	O	2	NMOD
4	infection	infection	B-NP	NN	O	3	PMOD
5	,	,	O	,	O	12	P
6	percentage	percentage	B-NP	NN	O	12	SUB
7	of	of	B-PP	IN	O	6	NMOD
8	neutrophils	neutrophil	B-NP	NNS	B-cell_type	7	PMOD
9	with	with	B-PP	IN	O	6	NMOD
10	enzyme	enzyme	B-NP	NN	O	11	NMOD
11	activity	activity	I-NP	NN	O	9	PMOD
12	showed	show	B-VP	VBD	O	0	ROOT
13	a	a	B-NP	DT	O	15	NMOD
14	significant	significant	I-NP	JJ	O	15	NMOD
15	decrease	decrease	I-NP	NN	O	12	OBJ
16	on	on	B-PP	IN	O	15	NMOD
17	day	day	B-NP	NN	O	16	PMOD
18	1	1	I-NP	CD	O	17	NMOD
19	followed	follow	B-VP	VBN	O	15	NMOD
20	by	by	B-PP	IN	O	19	VMOD
21	an	an	B-NP	DT	O	23	NMOD
22	significant	significant	I-NP	JJ	O	23	NMOD
23	increase	increase	I-NP	NN	O	20	PMOD
24	on	on	B-PP	IN	O	23	NMOD
25	day	day	B-NP	NN	O	24	PMOD
26	3	3	I-NP	CD	O	25	NMOD
27	.	.	O	.	O	12	P

1	NAP	NAP	B-NP	NN	O	2	NMOD
2	intensity	intensity	I-NP	NN	O	3	SUB
3	increased	increase	B-VP	VBD	O	0	ROOT
4	significantly	significantly	B-ADVP	RB	O	3	VMOD
5	on	on	B-PP	IN	O	3	VMOD
6	the	the	B-NP	DT	O	10	NMOD
7	second	second	I-NP	JJ	O	9	AMOD
8	and	and	I-NP	CC	O	9	AMOD
9	third	third	I-NP	JJ	O	10	NMOD
10	day	day	I-NP	NN	O	5	PMOD
11	after	after	B-PP	IN	O	10	NMOD
12	infection	infection	B-NP	NN	O	11	PMOD
13	.	.	O	.	O	3	P

1	This	This	B-NP	DT	O	2	NMOD
2	increase	increase	I-NP	NN	O	5	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	intensity	intensity	B-NP	NN	O	3	PMOD
5	was	be	B-VP	VBD	O	0	ROOT
6	significantly	significantly	B-ADVP	RB	O	5	VMOD
7	,	,	O	,	O	5	P
8	positively	positively	B-VP	RB	O	9	VMOD
9	correlated	correlate	I-VP	VBN	O	5	VC
10	with	with	B-PP	IN	O	9	VMOD
11	the	the	B-NP	DT	O	12	NMOD
12	severity	severity	I-NP	NN	O	10	PMOD
13	of	of	B-PP	IN	O	12	NMOD
14	infection	infection	B-NP	NN	O	13	PMOD
15	.	.	O	.	O	5	P

1	From	From	B-PP	IN	O	5	VMOD
2	this	this	B-NP	DT	O	3	NMOD
3	study	study	I-NP	NN	O	1	PMOD
4	we	we	B-NP	PRP	O	5	SUB
5	may	may	B-VP	MD	O	0	ROOT
6	conclude	conclude	I-VP	VB	O	5	VC
7	that	that	B-SBAR	IN	O	6	VMOD
8	variation	variation	B-NP	NN	O	15	SUB
9	in	in	B-PP	IN	O	8	NMOD
10	susceptibility	susceptibility	B-NP	NN	O	9	PMOD
11	to	to	B-PP	TO	O	10	NMOD
12	E.	E.	B-NP	FW	O	14	NMOD
13	coli	coli	I-NP	FW	O	14	NMOD
14	mastitis	mastitis	I-NP	NN	O	11	PMOD
15	could	could	B-VP	MD	O	7	SBAR
16	not	not	I-VP	RB	O	15	VMOD
17	be	be	I-VP	VB	O	15	VC
18	explained	explain	I-VP	VBN	O	17	VC
19	by	by	B-PP	IN	O	18	VMOD
20	preinfection	preinfection	B-NP	NN	O	22	NMOD
21	NAP	NAP	I-NP	NN	O	22	NMOD
22	levels	level	I-NP	NNS	O	19	PMOD
23	.	.	O	.	O	5	P

1	The	The	B-NP	DT	O	3	NMOD
2	post-infection	post-infection	I-NP	JJ	O	3	NMOD
3	increase	increase	I-NP	NN	O	0	ROOT
4	of	of	B-PP	IN	O	3	NMOD
5	NAP	NAP	B-NP	NN	B-protein	6	NMOD
6	activity	activity	I-NP	NN	O	4	PMOD
7	,	,	O	,	O	3	P
8	that	that	B-NP	WDT	O	3	NMOD
9	was	be	B-VP	VBD	O	8	SBAR
10	found	find	I-VP	VBN	O	9	VC
11	following	follow	B-PP	VBG	O	10	VMOD
12	an	an	B-NP	DT	O	14	NMOD
13	induced	induce	I-NP	VBN	O	14	NMOD
14	infection	infection	I-NP	NN	O	15	SUB
15	was	be	B-VP	VBD	O	11	SBAR
16	more	more	B-ADVP	RBR	O	15	PRD
17	a	a	B-NP	DT	O	18	NMOD
18	result	result	I-NP	NN	O	16	OBJ
19	of	of	B-PP	IN	O	18	NMOD
20	increased	increase	B-NP	VBN	O	22	NMOD
21	enzyme	enzyme	I-NP	NN	O	22	NMOD
22	intensity	intensity	I-NP	NN	O	19	PMOD
23	per	per	B-PP	IN	O	22	NMOD
24	neutrophil	neutrophil	B-NP	NN	B-cell_type	23	PMOD
25	,	,	O	,	O	15	P
26	then	then	B-ADVP	RB	O	15	VMOD
27	from	from	B-PP	IN	O	15	VMOD
28	an	an	B-NP	DT	O	29	NMOD
29	increase	increase	I-NP	NN	O	27	PMOD
30	of	of	B-PP	IN	O	29	NMOD
31	percentage	percentage	B-NP	NN	B-cell_type	32	NMOD
32	neutrophils	neutrophil	I-NP	NNS	I-cell_type	30	PMOD
33	with	with	B-PP	IN	O	29	NMOD
34	enzyme	enzyme	B-NP	NN	B-protein	35	NMOD
35	activity	activity	I-NP	NN	O	33	PMOD
36	.	.	O	.	O	3	P

1	Furthermore	Furthermore	B-ADVP	RB	O	6	VMOD
2	,	,	O	,	O	6	P
3	a	a	B-NP	DT	O	5	NMOD
4	strong	strong	I-NP	JJ	O	5	NMOD
5	correlation	correlation	I-NP	NN	O	6	SUB
6	was	be	B-VP	VBD	O	0	ROOT
7	found	find	I-VP	VBN	O	6	VC
8	between	between	B-PP	IN	O	7	VMOD
9	NAP	NAP	B-NP	NN	O	10	NMOD
10	intensity	intensity	I-NP	NN	O	12	NMOD
11	and	and	I-NP	CC	O	12	NMOD
12	severity	severity	I-NP	NN	O	8	PMOD
13	of	of	B-PP	IN	O	12	NMOD
14	inflammation	inflammation	B-NP	NN	O	13	PMOD
15	.	.	O	.	O	6	P

1	There	There	B-NP	EX	O	2	SUB
2	was	be	B-VP	VBD	O	0	ROOT
3	evidence	evidence	B-NP	NN	O	2	PRD
4	that	that	B-SBAR	IN	O	3	NMOD
5	the	the	O	DT	O	10	SUB
6	more	more	B-ADVP	RBR	O	7	AMOD
7	severely	severely	I-ADVP	RB	O	10	VMOD
8	diseased	disease	B-NP	VBN	O	9	NMOD
9	animals	animal	I-NP	NNS	O	10	SUB
10	showed	show	B-VP	VBD	O	4	SBAR
11	stronger	strong	B-NP	JJR	O	14	NMOD
12	NAP	NAP	I-NP	NN	O	14	NMOD
13	intensity	intensity	I-NP	NN	O	14	NMOD
14	increase	increase	I-NP	NN	O	10	OBJ
15	.	.	O	.	O	2	P

