1	Molecular	Molecular	B-NP	JJ	O	2	NMOD
33	864	864	B-NP	CD	O	34	NMOD
34	bp	bp	I-NP	NN	O	32	PMOD
35	encoding	encode	B-VP	VBG	O	34	NMOD
36	a	a	B-NP	DT	O	37	NMOD
37	polypeptide	polypeptide	I-NP	NN	O	35	OBJ
38	of	of	B-PP	IN	O	37	NMOD
39	287	287	B-NP	CD	B-protein	41	NMOD
40	amino	amino	I-NP	NN	I-protein	41	NMOD
41	acids	acid	I-NP	NNS	I-protein	38	PMOD
42	.	.	O	.	O	2	P

1	It	It	B-NP	PRP	O	2	SUB
2	contained	contain	B-VP	VBD	O	0	ROOT
3	a	a	B-NP	DT	O	6	NMOD
4	typical	typical	I-NP	JJ	O	6	NMOD
5	death	death	I-NP	NN	B-protein	6	NMOD
6	domain	domain	I-NP	NN	I-protein	2	OBJ
7	at	at	B-PP	IN	O	2	VMOD
8	the	the	B-NP	DT	O	9	NMOD
9	N-terminal	N-terminal	I-NP	JJ	O	13	NMOD
10	and	and	O	CC	O	13	NMOD
11	a	a	B-NP	DT	O	13	NMOD
12	conservative	conservative	I-NP	JJ	O	13	NMOD
13	Toll/IL-1R	Toll/IL-1R	I-NP	NN	O	7	PMOD
14	(	(	O	(	O	13	NMOD
15	TIR	TIR	B-NP	NN	O	18	NMOD
16	)	)	O	)	O	18	NMOD
17	domain	domain	B-NP	NN	O	18	NMOD
18	structure	structure	I-NP	NN	O	14	ROOT
19	at	at	B-PP	IN	O	18	NMOD
20	the	the	B-NP	DT	O	21	NMOD
21	C-terminal	C-terminal	I-NP	JJ	O	19	PMOD
22	.	.	O	.	O	18	P

1	The	The	B-NP	DT	O	7	NMOD
2	quantitative	quantitative	I-NP	JJ	O	7	NMOD
3	real-time	real-time	I-NP	JJ	O	7	NMOD
4	reverse	reverse	I-NP	JJ	O	7	NMOD
5	transcription	transcription	I-NP	NN	O	7	NMOD
6	PCR	PCR	I-NP	NN	O	7	NMOD
7	analysis	analysis	I-NP	NN	O	8	SUB
8	revealed	reveal	B-VP	VBD	O	0	ROOT
9	a	a	B-NP	DT	O	11	NMOD
10	broad	broad	I-NP	JJ	O	11	NMOD
11	expression	expression	I-NP	NN	O	8	OBJ
12	of	of	B-PP	IN	O	11	NMOD
13	MyD88	MyD88	B-NP	NN	B-protein	12	PMOD
14	with	with	B-PP	IN	O	11	NMOD
15	the	the	B-NP	DT	O	17	NMOD
16	highest	high	I-NP	JJS	O	17	NMOD
17	expression	expression	I-NP	NN	O	14	PMOD
18	in	in	B-PP	IN	O	17	NMOD
19	the	the	B-NP	DT	O	20	NMOD
20	spleen	spleen	I-NP	NN	O	18	PMOD
21	and	and	O	CC	O	8	VMOD
22	the	the	B-NP	DT	O	24	NMOD
23	weakest	weak	I-NP	JJS	O	24	NMOD
24	expression	expression	I-NP	NN	O	21	PRD
25	in	in	B-PP	IN	O	24	NMOD
26	the	the	B-NP	DT	O	27	NMOD
27	muscle	muscle	I-NP	NN	O	25	PMOD
28	.	.	O	.	O	8	P

1	The	The	B-NP	DT	O	2	NMOD
2	expression	expression	I-NP	NN	O	13	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	MyD88	MyD88	B-NP	NN	B-protein	3	PMOD
5	after	after	B-PP	IN	O	2	NMOD
6	challenge	challenge	B-NP	NN	O	5	PMOD
7	with	with	B-PP	IN	O	6	NMOD
8	formalin-inactivated	formalin-inactivated	B-NP	JJ	O	12	NMOD
9	Gram-negative	Gram-negative	I-NP	JJ	O	12	NMOD
10	bacterium	bacterium	I-NP	NN	O	12	NMOD
11	Vibrio	Vibrio	I-NP	NN	O	12	NMOD
12	parahaemolyticus	parahaemolyticus	I-NP	NN	O	7	PMOD
13	was	be	B-VP	VBD	O	0	ROOT
14	tested	test	I-VP	VBN	O	13	VC
15	in	in	B-PP	IN	O	14	VMOD
16	blood	blood	B-NP	NN	O	20	NMOD
17	,	,	I-NP	,	O	20	P
18	spleen	spleen	I-NP	NN	O	20	NMOD
19	and	and	I-NP	CC	O	20	NMOD
20	liver	liver	I-NP	NN	O	15	PMOD
21	.	.	O	.	O	13	P

1	It	It	B-NP	PRP	O	2	SUB
2	suggested	suggest	B-VP	VBD	O	0	ROOT
3	that	that	B-SBAR	IN	O	2	VMOD
4	the	the	B-NP	DT	O	6	NMOD
5	highest	high	I-NP	JJS	O	6	NMOD
6	expression	expression	I-NP	NN	O	7	SUB
7	was	be	B-VP	VBD	O	37	VMOD
8	in	in	B-PP	IN	O	7	VMOD
9	the	the	B-NP	DT	O	10	NMOD
10	spleen	spleen	I-NP	NN	O	8	PMOD
11	(	(	O	(	O	15	DEP
12	p	p	B-NP	NN	O	15	DEP
13	<	<	O	SYM	O	12	NMOD
14	0.05	0.05	B-NP	CD	O	13	AMOD
15	)	)	O	)	O	7	VMOD
16	with	with	B-PP	IN	O	37	VMOD
17	1.9	1.9	B-NP	CD	O	18	NMOD
18	times	time	I-NP	NNS	O	25	NMOD
19	(	(	O	(	O	23	DEP
20	at	at	B-PP	IN	O	23	DEP
21	48	48	B-NP	CD	O	22	NMOD
22	h	h	I-NP	NN	O	20	PMOD
23	)	)	O	)	O	18	NMOD
24	as	as	B-NP	RB	O	25	NMOD
25	much	much	I-NP	RB	O	16	PMOD
26	as	as	B-PP	IN	O	37	VMOD
27	that	that	B-NP	DT	O	34	NMOD
28	in	in	B-PP	IN	O	27	NMOD
29	the	the	B-NP	DT	O	30	NMOD
30	control	control	I-NP	NN	O	28	PMOD
31	and	and	O	CC	O	34	NMOD
32	the	the	B-NP	DT	O	34	NMOD
33	lowest	low	I-NP	JJS	O	34	NMOD
34	expression	expression	I-NP	NN	O	26	PMOD
35	of	of	B-PP	IN	O	34	NMOD
36	MyD88	MyD88	B-NP	NN	B-protein	35	PMOD
37	was	be	B-VP	VBD	O	3	SBAR
38	in	in	B-PP	IN	O	37	VMOD
39	the	the	B-NP	DT	O	40	NMOD
40	liver	liver	I-NP	NN	O	38	PMOD
41	(	(	O	(	O	45	DEP
42	p	p	B-NP	NN	O	45	DEP
43	<	<	O	SYM	O	42	NMOD
44	0.05	0.05	B-NP	CD	O	43	AMOD
45	)	)	O	)	O	37	VMOD
46	with	with	B-PP	IN	O	37	VMOD
47	0.29	0.29	B-NP	CD	O	48	NMOD
48	times	time	I-NP	NNS	O	46	PMOD
49	(	(	O	(	O	51	DEP
50	at	at	B-PP	IN	O	51	DEP
51	3h	3h	O	LS	O	37	VMOD
52	)	)	O	)	O	51	DEP
53	of	of	B-PP	IN	O	51	DEP
54	that	that	B-NP	DT	O	53	PMOD
55	in	in	B-PP	IN	O	54	NMOD
56	the	the	B-NP	DT	O	57	NMOD
57	control	control	I-NP	NN	O	55	PMOD
58	.	.	O	.	O	51	P

1	These	These	B-NP	DT	O	2	NMOD
2	results	result	I-NP	NNS	O	3	SUB
3	indicated	indicate	B-VP	VBD	O	0	ROOT
4	that	that	B-SBAR	IN	O	3	VMOD
5	as	as	B-PP	IN	O	19	VMOD
6	a	a	B-NP	DT	O	9	NMOD
7	universal	universal	I-NP	JJ	O	9	NMOD
8	key	key	I-NP	JJ	O	9	NMOD
9	adaptor	adaptor	I-NP	NN	O	5	PMOD
10	in	in	B-PP	IN	O	9	NMOD
11	the	the	B-NP	DT	O	14	NMOD
12	Toll-like	Toll-like	I-NP	JJ	B-protein	14	NMOD
13	receptor	receptor	I-NP	NN	I-protein	14	NMOD
14	pathway	pathway	I-NP	NN	O	10	PMOD
15	in	in	B-PP	IN	O	14	NMOD
16	mammals	mammal	B-NP	NNS	O	15	PMOD
17	,	,	O	,	O	19	P
18	MyD88	MyD88	B-NP	NN	B-protein	19	SUB
19	might	might	B-VP	MD	O	4	SBAR
20	play	play	I-VP	VB	O	19	VC
21	an	an	B-NP	DT	O	23	NMOD
22	important	important	I-NP	JJ	O	23	NMOD
23	role	role	I-NP	NN	O	20	OBJ
24	in	in	B-PP	IN	O	20	VMOD
25	large	large	B-NP	JJ	O	28	NMOD
26	yellow	yellow	I-NP	JJ	O	28	NMOD
27	croaker	croaker	I-NP	NN	O	28	NMOD
28	defense	defense	I-NP	NN	O	24	PMOD
29	against	against	B-PP	IN	O	28	NMOD
30	pathogenic	pathogenic	B-NP	JJ	O	31	NMOD
31	infection	infection	I-NP	NN	O	29	PMOD
32	.	.	O	.	O	3	P

