1	Genotyping	Genotyping	B-NP	NN	O	0	ROOT
1	Our	Our	B-NP	PRP$	O	2	NMOD
2	study	study	I-NP	NN	O	3	SUB
3	demonstrated	demonstrate	B-VP	VBD	O	0	ROOT
4	that	that	B-SBAR	IN	O	3	VMOD
5	,	,	O	,	O	4	P
6	in	in	B-PP	IN	O	16	VMOD
7	patients	patient	B-NP	NNS	O	6	PMOD
8	from	from	B-PP	IN	O	7	NMOD
9	one	one	B-NP	CD	O	10	NMOD
10	SNF	SNF	I-NP	NN	B-protein	8	PMOD
11	,	,	O	,	O	16	P
12	genotyping	genotyping	B-NP	NN	O	16	SUB
13	by	by	B-PP	IN	O	12	NMOD
14	FIGE	FIGE	B-NP	NN	O	15	NMOD
15	REA	REA	I-NP	NN	O	13	PMOD
16	identified	identify	B-VP	VBD	O	4	DEP
17	two	two	B-NP	CD	O	21	NMOD
18	prevalent	prevalent	I-NP	JJ	O	21	NMOD
19	REA	REA	I-NP	NN	O	21	NMOD
20	DNA	DNA	I-NP	NN	O	21	NMOD
21	types	type	I-NP	NNS	O	37	SUB
22	,	,	B-PP	,	O	37	P
23	but	but	I-PP	CC	O	37	VMOD
24	with	with	B-PP	IN	O	23	PMOD
25	variability	variability	B-NP	NN	O	24	PMOD
26	of	of	B-PP	IN	O	25	NMOD
27	antibiogram	antibiogram	B-NP	NN	O	28	NMOD
28	patterns	pattern	I-NP	NNS	O	26	PMOD
29	within	within	B-PP	IN	O	25	NMOD
30	each	each	B-NP	DT	O	32	NMOD
31	DNA	DNA	I-NP	NN	O	32	NMOD
32	type	type	I-NP	NN	O	29	PMOD
33	;	;	O	:	O	24	P
34	the	the	B-NP	DT	O	35	NMOD
35	antibiogram	antibiogram	I-NP	NN	O	24	PMOD
36	also	also	B-ADVP	RB	O	37	VMOD
37	identified	identify	B-VP	VBD	O	16	VMOD
38	prevalent	prevalent	B-NP	JJ	O	39	NMOD
39	patterns	pattern	I-NP	NNS	O	37	OBJ
40	with	with	B-PP	IN	O	39	NMOD
41	variability	variability	B-NP	NN	O	40	PMOD
42	of	of	B-PP	IN	O	41	NMOD
43	REA	REA	B-NP	NN	O	45	NMOD
44	DNA	DNA	I-NP	NN	O	45	NMOD
45	type	type	I-NP	NN	O	42	PMOD
46	within	within	B-PP	IN	O	45	NMOD
47	each	each	B-NP	DT	O	49	NMOD
48	antibiogram	antibiogram	I-NP	NN	O	49	NMOD
49	pattern	pattern	I-NP	NN	O	46	PMOD
50	.	.	O	.	O	3	P

1	The	The	B-NP	DT	O	3	NMOD
2	discriminatory	discriminatory	I-NP	JJ	O	3	NMOD
3	index	index	I-NP	NN	O	18	VMOD
4	of	of	B-PP	IN	O	3	NMOD
5	antibiograms	antibiogram	B-NP	NNS	O	4	PMOD
6	alone	alone	B-ADVP	RB	O	5	NMOD
7	,	,	O	,	O	18	P
8	or	or	O	CC	O	18	VMOD
9	of	of	B-PP	IN	O	18	VMOD
10	genotypes	genotype	B-NP	NNS	O	9	PMOD
11	alone	alone	B-ADVP	RB	O	10	NMOD
12	as	as	B-SBAR	IN	O	9	PMOD
13	determined	determine	B-VP	VBN	O	12	SBAR
14	by	by	B-PP	IN	O	13	VMOD
15	FIGE	FIGE	B-NP	NN	O	16	NMOD
16	REA	REA	I-NP	NN	O	14	PMOD
17	,	,	O	,	O	18	P
18	was	be	B-VP	VBD	O	0	ROOT
19	poor	poor	B-ADJP	JJ	O	18	PRD
20	for	for	B-PP	IN	O	19	AMOD
21	strains	strain	B-NP	NNS	O	20	PMOD
22	of	of	B-PP	IN	O	21	NMOD
23	MRSA	MRSA	B-NP	NN	O	22	PMOD
24	isolated	isolate	B-VP	VBN	O	23	NMOD
25	from	from	B-PP	IN	O	24	VMOD
26	the	the	B-NP	DT	O	28	NMOD
27	SNF	SNF	I-NP	NN	O	28	NMOD
28	patients	patient	I-NP	NNS	O	25	PMOD
29	in	in	B-PP	IN	O	28	NMOD
30	our	our	B-NP	PRP$	O	31	NMOD
31	study	study	I-NP	NN	O	29	PMOD
32	.	.	O	.	O	18	P

