1	Ability	Ability	B-NP	NN	O	0	ROOT
23	was	be	B-VP	VBD	O	0	ROOT
24	studied	study	I-VP	VBN	O	23	VC
25	on	on	B-PP	IN	O	24	VMOD
26	cultured	culture	B-NP	VBN	B-cell_line	28	NMOD
27	Caco-2	Caco-2	I-NP	NN	I-cell_line	28	NMOD
28	cells	cell	I-NP	NNS	I-cell_line	25	PMOD
29	and	and	O	CC	O	31	NMOD
30	ex	ex	B-NP	FW	O	31	NMOD
31	vivo	vivo	I-NP	FW	O	28	NMOD
32	on	on	B-PP	IN	O	28	NMOD
33	pigs	pig	B-NP	NNS	O	37	NMOD
34	'	'	B-NP	POS	O	37	NMOD
35	small	small	I-NP	JJ	O	37	NMOD
36	intestinal	intestinal	I-NP	JJ	O	37	NMOD
37	tissue	tissue	I-NP	NN	O	32	PMOD
38	.	.	O	.	O	23	P

1	Lactobacilli	Lactobacillus	B-NP	NNS	O	2	SUB
2	were	be	B-VP	VBD	O	0	ROOT
3	added	add	I-VP	VBN	O	2	VC
4	simultaneously	simultaneously	B-ADVP	RB	O	3	VMOD
5	with	with	B-PP	IN	O	3	VMOD
6	E.	E.	B-NP	FW	O	7	NMOD
7	coli	coli	I-NP	FW	O	5	PMOD
8	,	,	O	,	O	3	P
9	before	before	B-PP	IN	O	3	VMOD
10	E.	E.	B-NP	FW	O	11	NMOD
11	coli	coli	I-NP	FW	O	9	PMOD
12	and	and	O	CC	O	9	PMOD
13	after	after	B-PP	IN	O	9	PMOD
14	E.	E.	B-NP	FW	O	15	NMOD
15	coli	coli	I-NP	FW	O	13	PMOD
16	for	for	B-PP	IN	O	3	VMOD
17	competition	competition	B-NP	NN	O	22	NMOD
18	,	,	I-NP	,	O	22	P
19	exclusion	exclusion	I-NP	NN	O	22	NMOD
20	and	and	I-NP	CC	O	22	NMOD
21	displacement	displacement	I-NP	NN	O	22	NMOD
22	assays	assay	I-NP	NNS	O	16	PMOD
23	.	.	O	.	O	2	P

1	The	The	B-NP	DT	O	2	NMOD
2	concentration	concentration	I-NP	NN	O	10	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	lactobacilli	lactobacilli	B-NP	NN	O	3	PMOD
5	on	on	B-PP	IN	O	2	NMOD
6	fully	fully	B-NP	RB	B-cell_line	9	NMOD
7	differentiated	differentiate	I-NP	VBN	I-cell_line	9	NMOD
8	Caco-2	Caco-2	I-NP	NN	I-cell_line	9	NMOD
9	cells	cell	I-NP	NNS	I-cell_line	5	PMOD
10	was	be	B-VP	VBD	O	0	ROOT
11	4.5+/-0.3	4.5+/-0.3	B-NP	CD	O	13	AMOD
12	x	x	O	SYM	O	13	AMOD
13	10	10	B-NP	CD	O	17	NMOD
14	(	(	O	(	O	16	DEP
15	8	8	B-NP	CD	O	16	DEP
16	)	)	O	)	O	13	NMOD
17	cfu/well	cfu/well	B-NP	NN	O	10	PRD
18	,	,	O	,	O	10	P
19	while	while	B-SBAR	IN	O	10	VMOD
20	the	the	B-NP	DT	O	21	NMOD
21	concentration	concentration	I-NP	NN	O	25	SUB
22	of	of	B-PP	IN	O	21	NMOD
23	E.	E.	B-NP	FW	O	24	NMOD
24	coli	coli	I-NP	FW	O	22	PMOD
25	varied	vary	B-VP	VBD	O	19	SBAR
26	from	from	B-PP	IN	O	25	VMOD
27	1.5	1.5	B-NP	CD	O	29	AMOD
28	x	x	I-NP	SYM	O	29	AMOD
29	10	10	I-NP	CD	O	26	PMOD
30	(	(	O	(	O	32	DEP
31	6	6	B-NP	CD	O	32	DEP
32	)	)	O	)	O	29	NMOD
33	to	to	B-PP	TO	O	26	PMOD
34	4.3	4.3	B-NP	CD	O	40	NMOD
35	x	x	I-NP	NN	O	40	NMOD
36	10	10	B-NP	CD	O	35	NMOD
37	(	(	O	(	O	39	DEP
38	8	8	O	CD	O	39	DEP
39	)	)	O	)	O	35	NMOD
40	cfu/well	cfu/well	B-NP	NN	O	33	PMOD
41	.	.	O	.	O	10	P

1	The	The	B-NP	DT	O	2	NMOD
2	number	number	I-NP	NN	O	13	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	E.	E.	B-NP	FW	O	5	NMOD
5	coli	coli	I-NP	FW	O	3	PMOD
6	adhered	adhere	B-VP	VBN	O	5	NMOD
7	to	to	B-PP	TO	O	6	VMOD
8	Caco-2	Caco-2	B-NP	NN	O	9	NMOD
9	monolayer	monolayer	I-NP	NN	O	7	PMOD
10	(	(	O	(	O	12	DEP
11	cfu/well	cfu/well	B-NP	NN	O	12	DEP
12	)	)	O	)	O	9	NMOD
13	was	be	B-VP	VBD	O	0	ROOT
14	lineary	lineary	B-ADJP	JJ	O	13	PRD
15	correlated	correlate	B-VP	VBN	O	14	AMOD
16	(	(	O	(	O	22	DEP
17	R	R	B-NP	NN	O	22	DEP
18	(	(	O	(	O	22	DEP
19	2	2	B-NP	CD	O	21	NMOD
20	)	)	O	)	O	21	NMOD
21	=0.97	=0.97	B-NP	CD	O	22	DEP
22	)	)	O	)	O	14	AMOD
23	to	to	B-PP	TO	O	14	AMOD
24	the	the	B-NP	DT	O	25	NMOD
25	concentration	concentration	I-NP	NN	O	23	PMOD
26	of	of	B-PP	IN	O	25	NMOD
27	added	add	B-NP	VBN	B-cell_type	28	NMOD
28	cells	cell	I-NP	NNS	I-cell_type	26	PMOD
29	.	.	O	.	O	13	P

1	In	In	B-PP	IN	O	0	ROOT
2	the	the	B-NP	DT	O	3	NMOD
3	assay	assay	I-NP	NN	O	10	SUB
4	simulating	simulate	B-VP	VBG	O	3	NMOD
5	exclusion	exclusion	B-NP	NN	O	9	NMOD
6	,	,	O	,	O	9	P
7	E.	E.	B-NP	FW	O	9	NMOD
8	coli	coli	I-NP	FW	O	9	NMOD
9	adhesion	adhesion	I-NP	NN	O	4	OBJ
10	was	be	B-VP	VBD	O	1	SBAR
11	reduced	reduce	I-VP	VBN	O	10	VC
12	by	by	B-PP	IN	O	11	VMOD
13	Lb.	Lb.	B-NP	NNP	O	15	NMOD
14	gasseri	gasseri	I-NP	NNP	O	15	NMOD
15	K	K	I-NP	NNP	O	17	NMOD
16	7	7	I-NP	CD	O	17	NMOD
17	strain	strain	I-NP	NN	O	12	PMOD
18	by	by	B-PP	IN	O	11	VMOD
19	0.1	0.1	B-NP	CD	O	21	AMOD
20	to	to	I-NP	TO	O	21	AMOD
21	0.6	0.6	I-NP	CD	O	23	NMOD
22	log	log	I-NP	NN	O	23	NMOD
23	cfu/well	cfu/well	I-NP	NN	O	18	PMOD
24	.	.	O	.	O	1	P

1	The	The	B-NP	DT	O	2	NMOD
2	binding	binding	I-NP	NN	O	6	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	E.	E.	B-NP	FW	O	5	NMOD
5	coli	coli	I-NP	FW	O	3	PMOD
6	was	be	B-VP	VBD	O	0	ROOT
7	inhibited	inhibit	I-VP	VBN	O	6	VC
8	even	even	B-ADVP	RB	O	7	VMOD
9	more	more	I-ADVP	RBR	O	8	AMOD
10	when	when	B-ADVP	WRB	O	7	VMOD
11	incubated	incubate	B-VP	VBN	O	10	SBAR
12	simultaneously	simultaneously	B-ADVP	RB	O	11	VMOD
13	with	with	B-PP	IN	O	11	VMOD
14	lactobacilli	lactobacilli	B-NP	NN	O	13	PMOD
15	,	,	O	,	O	17	P
16	particularly	particularly	B-ADVP	RB	O	17	PMOD
17	at	at	B-PP	IN	O	10	SBAR
18	the	the	B-NP	DT	O	20	NMOD
19	lowest	low	I-NP	JJS	O	20	NMOD
20	concentration	concentration	I-NP	NN	O	17	PMOD
21	of	of	B-PP	IN	O	20	NMOD
22	E.	E.	B-NP	FW	O	23	NMOD
23	coli	coli	I-NP	FW	O	21	PMOD
24	(	(	O	(	O	31	DEP
25	ratio	ratio	B-NP	NN	O	27	NMOD
26	E.	E.	I-NP	NN	O	27	NMOD
27	coli/lactobacilli	coli/lactobacilli	I-NP	NN	O	31	DEP
28	1	1	I-NP	CD	O	27	NMOD
29	:	:	O	:	O	30	P
30	248	248	B-NP	CD	O	27	NMOD
31	)	)	O	)	O	23	NMOD
32	,	,	O	,	O	23	P
33	where	where	B-ADVP	WRB	O	23	NMOD
34	five-times	five-times	B-NP	JJ	O	35	NMOD
35	reduction	reduction	I-NP	NN	O	41	SUB
36	(	(	O	(	O	40	DEP
37	or	or	O	CC	O	40	DEP
38	0.7	0.7	B-NP	CD	O	39	NMOD
39	log	log	I-NP	NN	O	40	DEP
40	)	)	O	)	O	35	NMOD
41	was	be	B-VP	VBD	O	33	SBAR
42	observed	observe	I-VP	VBN	O	41	VC
43	.	.	O	.	O	6	P

1	When	When	B-ADVP	WRB	O	27	DEP
2	adhesion	adhesion	B-NP	NN	O	10	SUB
3	to	to	B-PP	TO	O	2	NMOD
4	tissue	tissue	B-NP	NN	O	3	PMOD
5	derived	derive	B-VP	VBN	O	4	NMOD
6	from	from	B-PP	IN	O	5	VMOD
7	pigs	pig	B-NP	NNS	O	8	NMOD
8	'	'	B-NP	POS	O	9	NMOD
9	jejunum	jejunum	I-NP	NN	O	6	PMOD
10	was	be	B-VP	VBD	O	1	SBAR
11	tested	test	I-VP	VBN	O	10	VC
12	,	,	O	,	O	27	P
13	concentration	concentration	B-NP	NN	O	17	SUB
14	of	of	B-PP	IN	O	13	NMOD
15	E.	E.	B-NP	FW	O	16	NMOD
16	coli	coli	I-NP	FW	O	14	PMOD
17	was	be	B-VP	VBD	O	27	DEP
18	constant	constant	B-ADJP	JJ	O	17	PRD
19	(	(	O	(	O	25	DEP
20	6.9+/-0.14	6.9+/-0.14	B-NP	CD	O	22	NMOD
21	x	x	I-NP	CC	O	22	NMOD
22	10	10	I-NP	CD	O	25	DEP
23	(	(	O	(	O	25	DEP
24	7	7	B-NP	CD	O	25	DEP
25	)	)	O	)	O	26	NMOD
26	cfu/ml	cfu/ml	B-NP	NN	O	17	PRD
27	)	)	O	)	O	0	ROOT
28	,	,	O	,	O	27	P
29	while	while	B-SBAR	IN	O	27	VMOD
30	the	the	B-NP	DT	O	31	NMOD
31	concentration	concentration	I-NP	NN	O	37	SUB
32	of	of	B-PP	IN	O	31	NMOD
33	Lb.	Lb.	B-NP	NNP	O	36	NMOD
34	gasseri	gasseri	I-NP	NNP	O	36	NMOD
35	K	K	I-NP	NNP	O	36	NMOD
36	7	7	I-NP	NNP	O	32	PMOD
37	was	be	B-VP	VBD	O	29	SBAR
38	5.9	5.9	B-NP	CD	O	40	AMOD
39	x	x	O	SYM	O	40	AMOD
40	10	10	B-NP	CD	O	47	NMOD
41	(	(	O	(	O	43	DEP
42	7	7	B-NP	CD	O	43	DEP
43	)	)	O	)	O	40	NMOD
44	and	and	O	CC	O	47	NMOD
45	1.3	1.3	B-NP	CD	O	47	NMOD
46	x	x	I-NP	CC	O	47	NMOD
47	10	10	I-NP	CD	O	51	NMOD
48	(	(	O	(	O	50	DEP
49	7	7	B-NP	CD	O	50	DEP
50	)	)	O	)	O	47	NMOD
51	cfu/ml	cfu/ml	B-NP	NN	O	37	PRD
52	in	in	B-PP	IN	O	37	VMOD
53	two	two	B-NP	CD	O	55	NMOD
54	independent	independent	I-NP	JJ	O	55	NMOD
55	experiments	experiment	I-NP	NNS	O	52	PMOD
56	,	,	O	,	O	37	P
57	respectively	respectively	B-ADVP	RB	O	37	VMOD
58	.	.	O	.	O	27	P

1	The	The	B-NP	DT	O	2	NMOD
2	adhesion	adhesion	I-NP	NN	O	15	SUB
3	of	of	B-PP	IN	O	2	NMOD
4	E.	E.	B-NP	NNP	O	5	NMOD
5	coli	coli	I-NP	NNP	O	11	NMOD
6	and	and	O	CC	O	11	NMOD
7	Lb.	Lb.	B-NP	NNP	O	11	NMOD
8	gasseri	gasseri	I-NP	NNP	O	11	NMOD
9	K	K	I-NP	NNP	O	11	NMOD
10	7	7	I-NP	CD	O	11	NMOD
11	cells	cell	I-NP	NNS	O	3	PMOD
12	to	to	B-PP	TO	O	2	NMOD
13	jejunal	jejunal	B-NP	JJ	O	14	NMOD
14	mucosa	mucosa	I-NP	NN	O	12	PMOD
15	was	be	B-VP	VBD	O	0	ROOT
16	similar	similar	B-ADJP	JJ	O	15	PRD
17	(	(	O	(	O	23	DEP
18	1.0+/-0.17	1.0+/-0.17	B-NP	CD	O	20	NMOD
19	x	x	I-NP	CC	O	20	NMOD
20	10	10	I-NP	CD	O	23	DEP
21	(	(	O	(	O	23	DEP
22	6	6	B-NP	CD	O	23	DEP
23	)	)	O	)	O	16	AMOD
24	and	and	O	CC	O	35	DEP
25	1.54+/-0.10	1.54+/-0.10	B-NP	CD	O	27	NMOD
26	x	x	I-NP	CC	O	27	NMOD
27	10	10	I-NP	CD	O	35	DEP
28	(	(	O	(	O	30	DEP
29	6	6	B-NP	CD	O	30	DEP
30	)	)	O	)	O	27	NMOD
31	cfu/cm	cfu/cm	B-NP	NN	O	27	NMOD
32	(	(	O	(	O	34	DEP
33	2	2	B-NP	CD	O	34	DEP
34	)	)	O	)	O	31	NMOD
35	)	)	O	)	O	15	VMOD
36	when	when	B-ADVP	WRB	O	15	VMOD
37	the	the	B-NP	DT	O	38	NMOD
38	concentrations	concentration	I-NP	NNS	O	44	SUB
39	of	of	B-PP	IN	O	38	NMOD
40	single	single	B-NP	JJ	O	41	NMOD
41	strains	strain	I-NP	NNS	O	39	PMOD
42	in	in	B-PP	IN	O	38	NMOD
43	suspensions	suspension	B-NP	NNS	O	42	PMOD
44	were	be	B-VP	VBD	O	36	SBAR
45	approximately	approximately	B-ADVP	RB	O	44	VMOD
46	the	the	B-NP	DT	O	47	NMOD
47	same	same	I-NP	JJ	O	44	VMOD
48	.	.	O	.	O	15	P

1	No	No	B-NP	DT	O	3	NMOD
2	significant	significant	I-NP	JJ	O	3	NMOD
3	competition	competition	I-NP	NN	O	7	NMOD
4	,	,	O	,	O	7	P
5	exclusion	exclusion	B-NP	NN	O	7	NMOD
6	or	or	O	CC	O	7	NMOD
7	displacement	displacement	B-NP	NN	O	13	SUB
8	of	of	B-PP	IN	O	7	NMOD
9	E.	E.	B-NP	FW	O	10	NMOD
10	coli	coli	I-NP	FW	O	8	PMOD
11	by	by	B-PP	IN	O	7	NMOD
12	lactobacilli	lactobacilli	B-NP	NN	O	11	PMOD
13	was	be	B-VP	VBD	O	0	ROOT
14	observed	observe	I-VP	VBN	O	13	VC
15	on	on	B-PP	IN	O	14	VMOD
16	jejunal	jejunal	B-NP	JJ	O	17	NMOD
17	tissue	tissue	I-NP	NN	O	15	PMOD
18	.	.	O	.	O	13	P

1	In	In	B-PP	IN	O	8	VMOD
2	conclusion	conclusion	B-NP	NN	O	1	PMOD
3	,	,	O	,	O	8	P
4	Lb.	Lb.	B-NP	NNP	O	7	NMOD
5	gasseri	gasseri	I-NP	NNP	O	7	NMOD
6	K	K	I-NP	NNP	O	7	NMOD
7	7	7	I-NP	NNP	O	8	SUB
8	was	be	B-VP	VBD	O	24	VMOD
9	found	find	I-VP	VBN	O	8	VC
10	to	to	I-VP	TO	O	11	VMOD
11	be	be	I-VP	VB	O	9	VMOD
12	effective	effective	B-ADJP	JJ	O	11	PRD
13	in	in	B-PP	IN	O	11	VMOD
14	reducing	reduce	B-VP	VBG	O	13	PMOD
15	E.	E.	B-NP	FW	O	17	NMOD
16	coli	coli	I-NP	FW	O	17	NMOD
17	adhesion	adhesion	I-NP	NN	O	14	OBJ
18	to	to	B-PP	TO	O	17	NMOD
19	Caco-2	Caco-2	B-NP	NN	B-cell_type	20	NMOD
20	enterocytes	enterocyte	I-NP	NNS	I-cell_type	18	PMOD
21	,	,	O	,	O	24	P
22	but	but	O	CC	O	24	VMOD
23	it	it	B-NP	PRP	O	24	SUB
24	was	be	B-VP	VBD	O	0	ROOT
25	not	not	O	RB	O	24	VMOD
26	able	able	B-ADJP	JJ	O	24	PRD
27	to	to	B-VP	TO	O	28	VMOD
28	do	do	I-VP	VB	O	26	AMOD
29	so	so	B-ADVP	RB	O	28	VMOD
30	in	in	B-PP	IN	O	28	VMOD
31	ex	ex	B-NP	FW	O	32	AMOD
32	vivo	vivo	I-NP	FW	O	33	NMOD
33	conditions	condition	I-NP	NNS	O	30	PMOD
34	tested	test	B-VP	VBN	O	33	NMOD
35	for	for	B-PP	IN	O	34	VMOD
36	pig	pig	B-NP	NN	O	38	NMOD
37	jejunal	jejunal	I-NP	JJ	O	38	NMOD
38	tissue	tissue	I-NP	NN	O	35	PMOD
39	.	.	O	.	O	24	P

