1	Rapid	Rapid	B-NP	JJ	O	2	NMOD
12	and	and	I-PP	CC	O	4	PMOD
13	from	from	B-PP	IN	O	4	PMOD
14	adults	adult	B-NP	NNS	O	13	PMOD
15	(	(	O	(	O	17	DEP
16	n=18	n=18	B-NP	NN	O	17	DEP
17	)	)	O	)	O	14	NMOD
18	analyzed	analyze	B-VP	VBN	O	14	NMOD
19	by	by	B-PP	IN	O	18	VMOD
20	real-time	real-time	B-NP	JJ	O	21	NMOD
21	PCR	PCR	I-NP	NN	O	19	PMOD
22	with	with	B-PP	IN	O	21	NMOD
23	molecular	molecular	B-NP	JJ	O	25	NMOD
24	beacon	beacon	I-NP	NN	O	25	NMOD
25	probes	probe	I-NP	NNS	O	22	PMOD
26	were	be	B-VP	VBD	O	0	ROOT
27	compared	compare	I-VP	VBN	O	26	VC
28	with	with	B-PP	IN	O	27	VMOD
29	those	those	B-NP	DT	O	28	PMOD
30	of	of	B-PP	IN	O	29	NMOD
31	conventional	conventional	B-NP	JJ	O	32	NMOD
32	culturing	culturing	I-NP	NN	O	30	PMOD
33	.	.	O	.	O	26	P

1	The	The	B-NP	DT	O	3	NMOD
2	total	total	I-NP	JJ	O	3	NMOD
3	time	time	I-NP	NN	O	12	SUB
4	from	from	B-PP	IN	O	3	NMOD
5	DNA	DNA	B-NP	NN	O	6	NMOD
6	extraction	extraction	I-NP	NN	O	4	PMOD
7	from	from	B-PP	IN	O	6	NMOD
8	CSF	CSF	B-NP	NN	B-protein	7	PMOD
9	to	to	B-PP	TO	O	6	NMOD
10	PCR	PCR	B-NP	NN	O	11	NMOD
11	analysis	analysis	I-NP	NN	O	9	PMOD
12	was	be	B-VP	VBD	O	0	ROOT
13	1.5	1.5	B-NP	CD	O	14	NMOD
14	h.	h.	I-NP	NN	O	16	NMOD
15	The	The	B-NP	DT	O	16	NMOD
16	limit	limit	I-NP	NN	O	12	PRD
17	of	of	B-PP	IN	O	16	NMOD
18	detection	detection	B-NP	NN	O	17	PMOD
19	for	for	B-PP	IN	O	18	NMOD
20	these	these	B-NP	DT	O	21	NMOD
21	pathogens	pathogen	I-NP	NNS	O	19	PMOD
22	ranged	range	B-VP	VBD	O	16	NMOD
23	from	from	B-PP	IN	O	22	VMOD
24	5	5	B-NP	CD	O	25	NMOD
25	copies	copy	I-NP	NNS	O	23	PMOD
26	to	to	B-PP	TO	O	23	PMOD
27	28	28	B-NP	CD	O	28	NMOD
28	copies	copy	I-NP	NNS	O	26	PMOD
29	per	per	B-PP	IN	O	22	VMOD
30	tube	tube	B-NP	NN	O	29	PMOD
31	.	.	O	.	O	12	P

1	Nonspecific	Nonspecific	B-NP	JJ	O	3	NMOD
2	positive	positive	I-NP	JJ	O	3	NMOD
3	reactions	reaction	I-NP	NNS	O	4	SUB
4	were	be	B-VP	VBD	O	0	ROOT
5	not	not	I-VP	RB	O	4	VMOD
6	recognized	recognize	I-VP	VBN	O	4	VC
7	for	for	B-PP	IN	O	6	VMOD
8	37	37	B-NP	CD	O	9	NMOD
9	microorganisms	microorganism	I-NP	NNS	O	7	PMOD
10	in	in	B-PP	IN	O	9	NMOD
11	clinical	clinical	B-NP	JJ	O	12	NMOD
12	isolates	isolate	I-NP	NNS	O	10	PMOD
13	as	as	B-PP	IN	O	6	VMOD
14	a	a	B-NP	DT	O	16	NMOD
15	negative	negative	I-NP	JJ	O	16	NMOD
16	control	control	I-NP	NN	O	13	PMOD
17	.	.	O	.	O	4	P

1	The	The	B-NP	DT	O	2	NMOD
2	pathogens	pathogen	I-NP	NNS	O	3	SUB
3	were	be	B-VP	VBD	O	0	ROOT
4	detected	detect	I-VP	VBN	O	3	VC
5	in	in	B-PP	IN	O	4	VMOD
6	72.0	72.0	B-NP	CD	O	7	NMOD
7	%	%	I-NP	NN	O	5	PMOD
8	of	of	B-PP	IN	O	7	NMOD
9	the	the	B-NP	DT	O	10	NMOD
10	samples	sample	I-NP	NNS	O	8	PMOD
11	by	by	B-PP	IN	O	4	VMOD
12	real-time	real-time	B-NP	JJ	O	13	NMOD
13	PCR	PCR	I-NP	NN	O	11	PMOD
14	,	,	O	,	O	3	P
15	but	but	O	CC	O	14	VMOD
16	in	in	B-PP	IN	O	15	PRD
17	only	only	B-NP	RB	O	19	NMOD
18	48.2	48.2	I-NP	CD	O	17	AMOD
19	%	%	I-NP	NN	O	16	PMOD
20	by	by	B-PP	IN	O	19	NMOD
21	culture	culture	B-NP	NN	O	20	PMOD
22	,	,	O	,	O	16	P
23	although	although	B-SBAR	IN	O	16	PMOD
24	the	the	B-NP	DT	O	25	NMOD
25	microorganisms	microorganism	I-NP	NNS	O	26	SUB
26	were	be	B-VP	VBD	O	23	SBAR
27	completely	completely	B-ADJP	RB	O	28	AMOD
28	concordant	concordant	I-ADJP	JJ	O	26	PRD
29	.	.	O	.	O	3	P

1	With	With	B-PP	IN	O	14	VMOD
2	the	the	B-NP	DT	O	4	NMOD
3	real-time	real-time	I-NP	JJ	O	4	NMOD
4	PCR	PCR	I-NP	NN	O	1	PMOD
5	,	,	O	,	O	14	P
6	the	the	B-NP	DT	O	8	NMOD
7	detection	detection	I-NP	NN	O	8	NMOD
8	rate	rate	I-NP	NN	O	14	SUB
9	of	of	B-PP	IN	O	8	NMOD
10	H.	H.	B-NP	NN	O	11	NMOD
11	influenzae	influenzae	I-NP	NN	O	9	PMOD
12	from	from	B-PP	IN	O	11	NMOD
13	CSF	CSF	B-NP	NN	B-protein	12	PMOD
14	was	be	B-VP	VBD	O	0	ROOT
15	high	high	B-ADJP	JJ	O	14	PRD
16	,	,	O	,	O	15	P
17	at	at	B-PP	IN	O	15	AMOD
18	45.2	45.2	B-NP	CD	O	19	NMOD
19	%	%	I-NP	NN	O	17	PMOD
20	,	,	O	,	O	15	P
21	followed	follow	B-VP	VBN	O	31	NMOD
22	by	by	B-PP	IN	O	21	VMOD
23	S.	S.	B-NP	FW	O	24	NMOD
24	pneumoniae	pneumoniae	I-NP	FW	O	22	PMOD
25	(	(	O	(	O	28	DEP
26	21.4	21.4	B-NP	CD	O	27	NMOD
27	%	%	I-NP	NN	O	28	DEP
28	)	)	O	)	O	24	NMOD
29	,	,	O	,	O	31	P
30	S.	S.	B-ADVP	FW	O	31	NMOD
31	agalactiae	agalactiae	I-ADVP	FW	O	15	AMOD
32	(	(	O	(	O	35	DEP
33	2.4	2.4	B-NP	CD	O	34	NMOD
34	%	%	I-NP	NN	O	35	DEP
35	)	)	O	)	O	15	AMOD
36	,	,	O	,	O	14	P
37	E.	E.	B-ADVP	FW	O	14	VMOD
38	coli	coli	I-ADVP	FW	O	37	AMOD
39	(	(	O	(	O	42	DEP
40	1.8	1.8	B-NP	CD	O	41	NMOD
41	%	%	I-NP	NN	O	42	DEP
42	)	)	O	)	O	14	VMOD
43	,	,	O	,	O	53	P
44	L.	L.	B-NP	NN	B-DNA	45	NMOD
45	monocytogenes	monocytogene	I-NP	NNS	I-DNA	53	NMOD
46	(	(	O	(	O	49	DEP
47	0.6	0.6	B-NP	CD	O	48	NMOD
48	%	%	I-NP	NN	O	49	DEP
49	)	)	O	)	O	45	NMOD
50	,	,	O	,	O	53	P
51	and	and	O	CC	O	53	NMOD
52	M.	M.	B-NP	FW	O	53	NMOD
53	pneumoniae	pneumoniae	I-NP	FW	O	14	VMOD
54	(	(	O	(	O	57	DEP
55	0.6	0.6	B-NP	CD	O	56	NMOD
56	%	%	I-NP	NN	O	57	DEP
57	)	)	O	)	O	53	AMOD
58	.	.	O	.	O	14	P

1	The	The	B-NP	DT	O	3	NMOD
2	detection	detection	I-NP	NN	O	3	NMOD
3	rate	rate	I-NP	NN	O	6	SUB
4	with	with	B-PP	IN	O	3	NMOD
5	PCR	PCR	B-NP	NN	O	4	PMOD
6	was	be	B-VP	VBD	O	0	ROOT
7	significantly	significantly	B-ADJP	RB	O	8	AMOD
8	better	good	I-ADJP	JJR	O	6	PRD
9	than	than	B-PP	IN	O	8	AMOD
10	that	that	B-NP	DT	O	9	PMOD
11	with	with	B-PP	IN	O	10	NMOD
12	cultures	culture	B-NP	NNS	O	11	PMOD
13	in	in	B-PP	IN	O	12	NMOD
14	patients	patient	B-NP	NNS	O	13	PMOD
15	with	with	B-PP	IN	O	14	NMOD
16	antibiotic	antibiotic	B-NP	JJ	O	17	NMOD
17	administration	administration	I-NP	NN	O	15	PMOD
18	(	(	O	(	O	22	DEP
19	chi2=18.3182	chi2=18.3182	B-NP	NN	O	21	NMOD
20	;	;	O	:	O	21	P
21	P=0.0000	P=0.0000	B-NP	NN	O	22	DEP
22	)	)	O	)	O	17	NMOD
23	.	.	O	.	O	6	P

1	In	In	B-PP	IN	O	8	VMOD
2	conclusion	conclusion	B-NP	NN	O	1	PMOD
3	,	,	O	,	O	8	P
4	detection	detection	B-NP	NN	O	8	SUB
5	with	with	B-PP	IN	O	4	NMOD
6	real-time	real-time	B-NP	JJ	O	7	NMOD
7	PCR	PCR	I-NP	NN	O	5	PMOD
8	is	be	B-VP	VBZ	O	0	ROOT
9	useful	useful	B-ADJP	JJ	O	8	PRD
10	for	for	B-PP	IN	O	9	AMOD
11	rapidly	rapidly	B-VP	RB	O	12	VMOD
12	identifying	identify	I-VP	VBG	O	10	PMOD
13	the	the	B-NP	DT	O	15	NMOD
14	causative	causative	I-NP	JJ	O	15	NMOD
15	pathogens	pathogen	I-NP	NNS	O	12	OBJ
16	of	of	B-PP	IN	O	15	NMOD
17	meningitis	meningitis	B-NP	NN	O	16	PMOD
18	and	and	B-PP	CC	O	15	NMOD
19	for	for	B-PP	IN	O	18	PMOD
20	examining	examine	B-VP	VBG	O	19	PMOD
21	the	the	B-NP	DT	O	23	NMOD
22	clinical	clinical	I-NP	JJ	O	23	NMOD
23	course	course	I-NP	NN	O	20	OBJ
24	of	of	B-PP	IN	O	23	NMOD
25	chemotherapy	chemotherapy	B-NP	NN	O	24	PMOD
26	.	.	O	.	O	8	P

