1	Surveillance	Surveillance	B-NP	NN	O	8	NMOD
12	either	either	O	CC	O	11	VMOD
13	very	very	B-ADJP	RB	O	14	AMOD
14	low	low	I-ADJP	JJ	O	12	PRD
15	(	(	O	(	O	21	DEP
16	0-3	0-3	B-NP	CD	O	17	NMOD
17	%	%	I-NP	NN	O	20	NMOD
18	,	,	O	,	O	20	P
19	n=7	n=7	B-NP	NN	O	20	NMOD
20	populations	population	I-NP	NNS	O	21	DEP
21	)	)	O	)	O	14	AMOD
22	or	or	O	CC	O	14	NMOD
23	very	very	B-ADJP	RB	O	24	AMOD
24	high	high	I-ADJP	JJ	O	22	PMOD
25	(	(	O	(	O	31	DEP
26	96-100	96-100	B-NP	CD	O	27	NMOD
27	%	%	I-NP	NN	O	30	NMOD
28	,	,	O	,	O	30	P
29	n=4	n=4	B-NP	NN	B-cell_line	30	NMOD
30	populations	population	I-NP	NNS	I-cell_line	31	DEP
31	)	)	O	)	O	24	NMOD
32	,	,	O	,	O	11	P
33	whereas	whereas	O	IN	O	11	VMOD
34	there	there	B-NP	EX	O	35	SUB
35	was	be	B-VP	VBD	O	33	SBAR
36	variation	variation	B-NP	NN	O	35	PRD
37	in	in	B-PP	IN	O	36	NMOD
38	the	the	B-NP	DT	O	39	NMOD
39	prevalence	prevalence	I-NP	NN	O	37	PMOD
40	of	of	B-PP	IN	O	39	NMOD
41	antibodies	antibody	B-NP	NNS	B-protein	40	PMOD
42	to	to	B-PP	TO	O	39	NMOD
43	M.	M.	B-NP	NN	B-cell_type	44	NMOD
44	testudineum	testudineum	I-NP	NN	I-cell_type	42	PMOD
45	among	among	B-PP	IN	I-cell_type	39	NMOD
46	populations	population	B-NP	NNS	I-cell_type	45	PMOD
47	(	(	O	(	O	52	DEP
48	20-61	20-61	B-NP	CD	O	49	NMOD
49	%	%	I-NP	NN	O	51	NMOD
50	,	,	O	,	O	51	P
51	n=10	n=10	B-NP	NN	O	52	DEP
52	)	)	O	)	O	36	NMOD
53	with	with	B-PP	IN	O	36	NMOD
54	only	only	B-NP	RB	O	56	NMOD
55	one	one	I-NP	CD	O	54	AMOD
56	site	site	I-NP	NN	O	57	SUB
57	being	be	B-VP	VBG	O	53	PMOD
58	negative	negative	B-ADJP	JJ	O	57	PRD
59	.	.	O	.	O	11	P

1	Five	Five	B-NP	CD	O	2	NMOD
2	sites	site	I-NP	NNS	O	3	SUB
3	had	have	B-VP	VBD	O	13	VMOD
4	tortoises	tortoise	B-NP	NNS	O	3	OBJ
5	with	with	B-PP	IN	O	3	VMOD
6	antibodies	antibody	B-NP	NNS	B-protein	5	PMOD
7	to	to	B-PP	TO	O	6	NMOD
8	both	both	B-NP	DT	O	9	NMOD
9	pathogens	pathogen	I-NP	NNS	O	7	PMOD
10	,	,	O	,	O	13	P
11	and	and	O	CC	O	13	VMOD
12	these	these	B-NP	DT	O	13	SUB
13	were	be	B-VP	VBD	O	0	ROOT
14	the	the	B-NP	DT	O	16	NMOD
15	only	only	I-NP	JJ	O	16	NMOD
16	sites	site	I-NP	NNS	O	13	PRD
17	where	where	B-ADVP	WRB	O	16	NMOD
18	we	we	B-NP	PRP	O	19	SUB
19	observed	observe	B-VP	VBD	O	17	SBAR
20	tortoises	tortoise	B-NP	NNS	O	19	OBJ
21	with	with	B-PP	IN	O	20	NMOD
22	clinical	clinical	B-NP	JJ	O	23	NMOD
23	signs	sign	I-NP	NNS	O	21	PMOD
24	consistent	consistent	B-ADJP	JJ	O	23	NMOD
25	with	with	B-PP	IN	O	24	AMOD
26	URTD	URTD	B-NP	NN	B-protein	25	PMOD
27	.	.	O	.	O	13	P

1	We	We	B-NP	PRP	O	2	SUB
2	did	do	B-VP	VBD	O	0	ROOT
3	not	not	I-VP	RB	O	2	VMOD
4	find	find	I-VP	VB	O	2	VC
5	tortoises	tortoise	B-NP	NNS	O	4	OBJ
6	with	with	B-PP	IN	O	5	NMOD
7	clinical	clinical	B-NP	JJ	O	8	NMOD
8	signs	sign	I-NP	NNS	O	6	PMOD
9	of	of	B-PP	IN	O	8	NMOD
10	URTD	URTD	B-NP	NN	B-DNA	12	NMOD
11	at	at	B-PP	IN	I-DNA	12	NMOD
12	sites	site	B-NP	NNS	I-DNA	9	PMOD
13	with	with	B-PP	IN	O	12	NMOD
14	tortoises	tortoise	B-NP	NNS	O	13	PMOD
15	with	with	B-PP	IN	O	14	NMOD
16	antibodies	antibody	B-NP	NNS	B-protein	15	PMOD
17	only	only	B-ADVP	RB	O	4	VMOD
18	to	to	B-PP	TO	O	17	PMOD
19	M.	M.	B-NP	NN	O	20	NMOD
20	testudineum	testudineum	I-NP	NN	O	18	PMOD
21	,	,	O	,	O	20	P
22	which	which	B-NP	WDT	O	20	NMOD
23	provides	provide	B-VP	VBZ	O	22	SBAR
24	evidence	evidence	B-NP	NN	O	23	OBJ
25	that	that	B-SBAR	IN	O	24	NMOD
26	this	this	B-NP	DT	O	27	NMOD
27	organism	organism	I-NP	NN	O	28	SUB
28	may	may	B-VP	MD	O	25	SBAR
29	be	be	I-VP	VB	O	28	VC
30	of	of	B-PP	IN	O	29	PRD
31	limited	limited	B-NP	JJ	O	32	NMOD
32	pathogenicity	pathogenicity	I-NP	NN	O	30	PMOD
33	for	for	B-PP	IN	O	32	NMOD
34	gopher	gopher	B-NP	NN	O	35	NMOD
35	tortoises	tortoise	I-NP	NNS	O	33	PMOD
36	.	.	O	.	O	2	P

1	Collectively	Collectively	B-ADVP	RB	O	5	VMOD
2	,	,	O	,	O	5	P
3	these	these	B-NP	DT	O	4	NMOD
4	data	datum	I-NP	NNS	O	5	SUB
5	indicate	indicate	B-VP	VBP	O	0	ROOT
6	that	that	B-SBAR	IN	O	22	DEP
7	both	both	B-NP	DT	O	12	NMOD
8	M.	M.	I-NP	NNP	O	9	NMOD
9	agassizii	agassizii	I-NP	NNP	O	12	NMOD
10	and	and	I-NP	CC	O	12	NMOD
11	M.	M.	I-NP	NNP	O	12	NMOD
12	testudineum	testudineum	I-NP	NN	O	13	SUB
13	are	be	B-VP	VBP	O	6	SBAR
14	present	present	B-ADJP	JJ	O	13	PRD
15	in	in	B-PP	IN	O	14	AMOD
16	Georgia	Georgia	B-NP	NNP	O	17	NMOD
17	populations	population	I-NP	NNS	O	15	PMOD
18	of	of	B-PP	IN	O	17	NMOD
19	gopher	gopher	B-NP	NN	O	20	NMOD
20	tortoises	tortoise	I-NP	NNS	O	18	PMOD
21	and	and	O	CC	O	22	DEP
22	that	that	B-SBAR	IN	O	5	VMOD
23	clinical	clinical	B-NP	JJ	O	24	NMOD
24	disease	disease	I-NP	NN	O	25	SUB
25	is	be	B-VP	VBZ	O	22	SBAR
26	apparent	apparent	B-ADJP	JJ	O	25	PRD
27	in	in	B-PP	IN	O	26	AMOD
28	populations	population	B-NP	NNS	O	27	PMOD
29	where	where	B-ADVP	WRB	O	28	NMOD
30	both	both	B-NP	DT	O	31	NMOD
31	pathogens	pathogen	I-NP	NNS	O	32	SUB
32	are	be	B-VP	VBP	O	29	SBAR
33	present	present	B-ADJP	JJ	O	32	PRD
34	.	.	O	.	O	5	P

1	Additional	Additional	B-NP	JJ	O	2	NMOD
2	research	research	I-NP	NN	O	3	SUB
3	is	be	B-VP	VBZ	O	0	ROOT
4	needed	need	I-VP	VBN	O	3	VC
5	to	to	B-VP	TO	O	7	VMOD
6	better	well	I-VP	RBR	O	7	VMOD
7	understand	understand	I-VP	VB	O	3	VMOD
8	the	the	B-NP	DT	O	9	NMOD
9	role	role	I-NP	NN	O	7	OBJ
10	of	of	B-PP	IN	O	9	NMOD
11	these	these	B-NP	DT	O	13	NMOD
12	two	two	I-NP	CD	O	13	NMOD
13	pathogens	pathogen	I-NP	NNS	O	10	PMOD
14	,	,	O	,	O	18	P
15	and	and	O	CC	O	18	NMOD
16	other	other	B-NP	JJ	O	18	NMOD
17	potential	potential	I-NP	JJ	O	18	NMOD
18	pathogens	pathogen	I-NP	NNS	O	3	VMOD
19	,	,	O	,	O	18	P
20	in	in	B-PP	IN	O	29	DEP
21	the	the	B-NP	DT	O	23	NMOD
22	overall	overall	I-NP	JJ	O	23	NMOD
23	health	health	I-NP	NN	O	20	PMOD
24	of	of	B-PP	IN	O	23	NMOD
25	tortoise	tortoise	B-NP	NN	B-cell_type	26	NMOD
26	populations	population	I-NP	NNS	I-cell_type	24	PMOD
27	,	,	O	,	O	29	P
28	especially	especially	B-ADVP	RB	O	29	DEP
29	if	if	B-SBAR	IN	O	18	VMOD
30	future	future	B-NP	JJ	O	32	NMOD
31	conservation	conservation	I-NP	NN	O	32	NMOD
32	efforts	effort	I-NP	NNS	O	33	SUB
33	involve	involve	B-VP	VBP	O	29	SBAR
34	translocation	translocation	B-NP	NN	O	33	OBJ
35	of	of	B-PP	IN	O	34	NMOD
36	tortoises	tortoise	B-NP	NNS	O	35	PMOD
37	.	.	O	.	O	3	P

