1	Evaluation	Evaluation	B-NP	NN	O	8	NMOD
4	showed	show	B-VP	VBD	O	0	ROOT
5	an	an	B-NP	DT	O	14	NMOD
6	insignificant	insignificant	I-NP	JJ	O	7	AMOD
7	different	different	I-NP	JJ	O	14	NMOD
8	(	(	O	(	O	12	DEP
9	P	P	B-NP	NN	O	12	DEP
10	>	>	B-NP	JJR	O	9	NMOD
11	0.05	0.05	I-NP	CD	O	10	AMOD
12	)	)	O	)	O	7	AMOD
13	reduction	reduction	B-NP	NN	O	14	NMOD
14	rate	rate	I-NP	NN	O	4	OBJ
15	of	of	B-PP	IN	O	14	NMOD
16	host	host	B-NP	NN	B-cell_type	17	NMOD
17	cells	cell	I-NP	NNS	I-cell_type	15	PMOD
18	at	at	B-PP	IN	O	4	VMOD
19	37	37	B-NP	CD	O	20	NMOD
20	°C	°C	I-NP	NN	O	28	NMOD
21	(	(	O	(	O	25	DEP
22	6.4	6.4	B-NP	CD	O	24	NMOD
23	log₁₀	log₁₀	I-NP	NN	O	24	NMOD
24	CFU/ml	CFU/ml	I-NP	NN	O	25	DEP
25	)	)	O	)	O	20	NMOD
26	and	and	O	CC	O	28	NMOD
27	42	42	B-NP	CD	O	28	NMOD
28	°C	°C	I-NP	NN	O	18	PMOD
29	(	(	O	(	O	33	DEP
30	6.0	6.0	B-NP	CD	O	32	NMOD
31	log₁₀	log₁₀	I-NP	NN	O	32	NMOD
32	CFU/ml	CFU/ml	I-NP	NN	O	33	DEP
33	)	)	O	)	O	28	NMOD
34	.	.	O	.	O	4	P

1	The	The	B-NP	DT	O	4	NMOD
2	in	in	I-NP	FW	O	3	AMOD
3	vivo	vivo	I-NP	FW	O	4	NMOD
4	study	study	I-NP	NN	O	8	SUB
5	using	use	B-VP	VBG	O	4	NMOD
6	Φ	Φ	B-NP	NN	B-protein	7	NMOD
7	st1	st1	I-NP	NN	I-protein	5	OBJ
8	showed	show	B-VP	VBD	O	0	ROOT
9	that	that	B-SBAR	IN	O	8	VMOD
10	intracloacal	intracloacal	B-NP	JJ	O	11	NMOD
11	inoculation	inoculation	I-NP	NN	O	21	SUB
12	of	of	B-PP	IN	O	11	NMOD
13	~10¹²	~10¹²	B-NP	NN	O	14	NMOD
14	PFU/ml	PFU/ml	I-NP	NN	O	12	PMOD
15	of	of	B-PP	IN	O	14	NMOD
16	the	the	B-NP	DT	O	17	NMOD
17	phage	phage	I-NP	NN	O	15	PMOD
18	in	in	B-PP	IN	O	11	NMOD
19	the	the	B-NP	DT	O	20	NMOD
20	chickens	chicken	I-NP	NNS	O	18	PMOD
21	challenged	challenge	B-VP	VBD	O	9	SBAR
22	with	with	B-PP	IN	O	21	VMOD
23	~10¹⁰	~10¹⁰	B-NP	NN	O	24	NMOD
24	CFU/ml	CFU/ml	I-NP	NNP	O	22	PMOD
25	of	of	B-PP	IN	O	24	NMOD
26	S.	S.	B-NP	NNP	O	27	NMOD
27	Typhimurium	Typhimurium	I-NP	NNP	O	25	PMOD
28	was	be	B-VP	VBD	O	21	VMOD
29	able	able	B-ADJP	JJ	O	28	PRD
30	to	to	B-VP	TO	O	31	VMOD
31	reduce	reduce	I-VP	VB	O	29	AMOD
32	(	(	O	(	O	36	DEP
33	P	P	B-NP	NN	O	36	DEP
34	<	<	B-NP	SYM	O	33	NMOD
35	0.05	0.05	I-NP	CD	O	34	AMOD
36	)	)	O	)	O	31	VMOD
37	the	the	B-NP	DT	O	39	NMOD
38	S.	S.	I-NP	NNP	O	39	NMOD
39	Typhimurium	Typhimurium	I-NP	NNP	O	31	OBJ
40	more	more	B-ADVP	RBR	O	41	AMOD
41	rapidly	rapidly	I-ADVP	RB	O	39	NMOD
42	than	than	B-PP	IN	O	41	AMOD
43	the	the	B-NP	DT	O	45	NMOD
44	untreated	untreated	I-NP	JJ	O	45	NMOD
45	group	group	I-NP	NN	O	42	PMOD
46	.	.	O	.	O	8	P

1	The	The	B-NP	DT	O	3	NMOD
2	Salmonella	Salmonella	I-NP	NNP	O	3	NMOD
3	count	count	I-NP	NN	O	4	SUB
4	reduced	reduce	B-VP	VBD	O	0	ROOT
5	to	to	B-PP	TO	O	4	VMOD
6	2.9	2.9	B-NP	CD	O	8	NMOD
7	log₁₀	log₁₀	I-NP	NN	O	8	NMOD
8	CFU/ml	CFU/ml	I-NP	NN	O	5	PMOD
9	within	within	B-PP	IN	O	8	NMOD
10	6h	6h	B-NP	NN	O	9	PMOD
11	of	of	B-PP	IN	O	10	NMOD
12	post-challenge	post-challenge	B-NP	JJ	O	15	NMOD
13	and	and	I-NP	CC	O	15	NMOD
14	S.	S.	I-NP	NNP	O	15	NMOD
15	Typhimurium	Typhimurium	I-NP	NNP	O	11	PMOD
16	was	be	B-VP	VBD	O	4	VMOD
17	not	not	I-VP	RB	O	16	VMOD
18	detected	detect	I-VP	VBN	O	16	VC
19	at	at	B-PP	IN	O	18	VMOD
20	and	and	I-PP	CC	O	19	PMOD
21	after	after	I-PP	IN	O	19	PMOD
22	24h	24h	B-NP	NN	O	19	PMOD
23	of	of	B-PP	IN	O	22	NMOD
24	post-challenge	post-challenge	B-NP	JJ	O	23	PMOD
25	.	.	O	.	O	4	P

1	Reduction	Reduction	B-NP	NN	O	8	SUB
2	of	of	B-PP	IN	O	1	NMOD
3	Salmonella	Salmonella	B-NP	NNP	O	4	NMOD
4	count	count	I-NP	NN	O	2	PMOD
5	in	in	B-PP	IN	O	4	NMOD
6	visceral	visceral	B-NP	JJ	O	7	NMOD
7	organs	organ	I-NP	NNS	O	5	PMOD
8	was	be	B-VP	VBD	O	0	ROOT
9	also	also	I-VP	RB	O	8	VMOD
10	observed	observe	I-VP	VBN	O	8	VC
11	at	at	B-PP	IN	O	10	VMOD
12	6h	6h	B-NP	CD	O	13	NMOD
13	post-challenge	post-challenge	I-NP	JJ	O	11	PMOD
14	.	.	O	.	O	8	P

1	Approximately	Approximately	B-NP	RB	O	7	VMOD
2	1.6	1.6	I-NP	CD	O	1	AMOD
3	log₁₀	log₁₀	I-NP	NN	O	6	NMOD
4	FU/ml	FU/ml	I-NP	NN	O	6	NMOD
5	Φ	Φ	I-NP	NN	O	6	NMOD
6	st1	st1	I-NP	NN	O	7	SUB
7	was	be	B-VP	VBD	O	0	ROOT
8	found	find	I-VP	VBN	O	7	VC
9	to	to	I-VP	TO	O	10	VMOD
10	persist	persist	I-VP	VB	O	8	VMOD
11	in	in	B-PP	IN	O	10	VMOD
12	the	the	B-NP	DT	O	14	NMOD
13	caecal	caecal	I-NP	JJ	O	14	NMOD
14	wall	wall	I-NP	NN	O	11	PMOD
15	of	of	B-PP	IN	O	14	NMOD
16	the	the	B-NP	DT	O	17	NMOD
17	chicks	chick	I-NP	NNS	O	15	PMOD
18	at	at	B-PP	IN	O	10	VMOD
19	72	72	B-NP	CD	O	20	NMOD
20	h	h	I-NP	NN	O	18	PMOD
21	of	of	B-PP	IN	O	20	NMOD
22	post-challenge	post-challenge	B-NP	JJ	O	21	PMOD
23	.	.	O	.	O	7	P

1	The	The	B-NP	DT	O	3	NMOD
2	present	present	I-NP	JJ	O	3	NMOD
3	study	study	I-NP	NN	O	4	SUB
4	indicated	indicate	B-VP	VBD	O	0	ROOT
5	that	that	B-SBAR	IN	O	4	VMOD
6	Φ	Φ	B-NP	NN	B-protein	7	NMOD
7	st1	st1	I-NP	NN	I-protein	8	SUB
8	may	may	B-VP	MD	O	5	SBAR
9	serve	serve	I-VP	VB	O	8	VC
10	as	as	B-PP	IN	O	9	VMOD
11	a	a	B-NP	DT	O	14	NMOD
12	potential	potential	I-NP	JJ	O	14	NMOD
13	biocontrol	biocontrol	I-NP	NN	O	14	NMOD
14	agent	agent	I-NP	NN	O	10	PMOD
15	to	to	B-VP	TO	O	16	VMOD
16	reduce	reduce	I-VP	VB	O	9	VMOD
17	the	the	B-NP	DT	O	19	NMOD
18	Salmonella	Salmonella	I-NP	NNP	O	19	NMOD
19	count	count	I-NP	NN	O	16	OBJ
20	in	in	B-PP	IN	O	16	VMOD
21	caecal	caecal	B-NP	JJ	O	22	NMOD
22	content	content	I-NP	NN	O	20	PMOD
23	of	of	B-PP	IN	O	22	NMOD
24	chickens	chicken	B-NP	NNS	O	23	PMOD
25	.	.	O	.	O	4	P

